99,3,819
105,3,819
72,3,819
11,3,819
61,3,819
11,3,819
79,3,819
86,3,838
72,3,838
57,3,838
38,3,838
76,3,838
11,3,838
90,6,747
16,6,747
58,6,907
66,6,907
37,6,907
76,6,907
56,8,792
100,8,792
109,8,792
11,8,792
79,8,836
18,8,885
99,8,885
18,8,885
76,8,885
34,8,885
84,8,908
61,8,908
109,8,908
100,8,908
99,8,929
102,8,929
49,8,929
65,8,929
110,8,929
10,8,984
33,8,984
61,8,984
11,8,984
61,8,984
99,8,984
49,8,984
83,8,984
61,8,999
73,8,999
77,8,1006
100,8,1006
34,8,1006
28,8,1006
108,8,1006
84,8,1044
61,8,1044
34,8,1044
109,8,1044
80,8,1062
79,8,1062
11,8,1062
11,8,1062
