patterns\K,0,1,2,3,4,5,6,7
(1- 1),1.46569242883,3.89368836378,-0.879633785079,1.8506718986,8.83166230866,5.84452673746,2.40549128511,0.233051131757
(1- 2),1.99321731811,1.92138331975,2.30375383276,2.53693886575,2.87965543237,2.20746914349,2.06641500824,3.42884567209
(1- 3),2.39568654573,2.55575053065,2.21626372792,2.15672283913,2.55949713915,2.37295005659,2.49122214919,2.46071126801
(1- 4),2.67906607104,2.35208581587,2.18597313496,2.30298086919,2.3452178619,2.35678969986,2.3950341393,2.55652900738
(1- 5),2.51920377991,2.45057059954,2.44575846514,2.19589477632,2.30761364201,2.51219868513,2.38008158168,2.3876124976
(1- 6),2.16839203874,2.55696471793,2.28525513471,2.28556841532,2.44537172105,2.52134693409,2.42869589565,2.48054804352
(1- 8),2.81804497645,2.72390981519,4.46190016782,3.42819371429,2.58128002032,1.08940738066,0.69131420185,1.38126991872
(1- 9),2.52610033506,2.32058309278,2.60161843004,2.19612639421,2.14669919256,2.66468653735,2.3685000713,2.32225667307
(1- 10),2.02382771368,2.66857326304,2.0282077323,2.88540097825,1.97463327312,2.5869143496,2.47957814429,2.55383412003
(1- 11),1.91534733771,2.37406012579,2.63670809884,2.32033941471,2.07705467508,2.78525845337,2.07817659889,2.85716458878
(1- 12),2.41861565184,1.79504900998,2.06596875717,2.362051597,3.15894260815,2.32224325868,2.53355824569,2.56091268999
(1- 14),2.68428305062,2.14937013278,2.20341987128,2.25658370254,2.17740703093,2.59533256126,2.73851693035,2.34619312069
(1- 15),2.36522269163,2.61880755914,2.6113320876,2.27471684139,2.53098705213,2.17045128895,2.3997253053,2.2371459572
(1- 16),2.11860615718,2.40308446771,2.50642554243,2.27966655752,2.53958051715,2.35828686417,2.47078717871,2.47593354963
(1- 17),1.98611030938,2.5614924666,2.53923096916,2.49593523605,2.23670415801,2.18268604654,2.35395440752,2.39185839607
(1- 18),2.47874341947,2.03940138886,3.12542258973,2.97718414946,2.06488834225,2.0205846748,2.62968022551,1.82554745135
(1- 19),2.67227378836,2.4760916422,2.3084850049,2.14683009091,2.39656524617,2.34571013791,2.5589994304,2.36034000609
(1- 20),2.25745607341,2.76647472767,2.84093583784,1.9079380707,2.28835208421,1.89485219481,2.60668705349,2.33610217395
(1- 22),6.60193104245,3.31988802715,-0.464378952366,2.89477010009,2.37892472994,1.56531335603,1.08011272344,3.69777240782
(1- 24),2.09753195184,1.84894045156,1.82227313261,3.08174667172,2.15638984511,2.50778672108,2.32907555597,2.68140609012
(1- 25),2.41562480756,1.95149357197,2.15014244097,2.34440475846,2.58544566179,2.51101350946,2.47072187428,2.68740106501
(1- 26),1.20658599622,1.85643814019,0.732308317266,2.71113300006,3.92129900413,2.60985735934,3.27738238741,3.07754991017
(1- 27),1.58101960749,2.51618929685,0.992973214257,4.45953482589,1.47224783695,2.16882545715,2.78100260178,2.86935789684
(1- 28),2.20524812475,2.62364331335,2.71270262939,2.82709017984,2.35196198171,1.92553467455,1.75101439675,2.4560886241
(1- 29),2.33309411857,2.56263620623,2.16257876036,2.36215952305,2.3534913643,2.63416719655,2.58198832775,2.24719793073
(1- 30),2.5186449862,2.37528328508,2.32410986231,2.34487237375,2.50401679154,2.33681167419,2.55253460334,2.25774607033
(1- 31),2.66281557864,1.20944299077,3.3157261567,1.207613197,3.66853765761,2.91032916244,3.19138709417,1.72833082786
(1- 32),1.73189355424,3.3832308023,1.79244206638,1.72898922782,2.91137990187,2.28481212631,1.72987980296,4.0623247141
(1- 33),2.43575717353,2.16737466712,2.31351804593,2.40626447062,2.50063494929,2.36935305046,2.48494889335,2.52244664083
(1- 34),2.74441139627,2.20400540894,2.35415078346,2.20542614367,2.64611799295,2.78622397818,1.92804631666,2.45262374447
(1- 35),2.3352273394,2.47423244514,2.40974096011,2.13242167574,2.54378258926,2.37413813785,2.52692144863,2.42916578191
(1- 36),2.48007443105,2.39426886977,2.32666528212,2.29566997631,2.33063371861,2.56756042055,2.51240074722,2.2922921246
(1- 37),2.43264873601,2.44285659005,2.32221301801,2.07176953929,2.29092319365,2.37535466352,2.32168230875,2.78319354697
(1- 38),2.049464255,2.1694292819,2.21797103853,2.45315385464,2.3484521104,2.58892049918,2.80604072195,2.42791553855
(1- 39),2.70557341936,2.71299179695,2.26465354521,2.22268010517,2.44632844857,2.48641597012,2.35175023455,2.09475284418
(1- 40),3.03784208317,1.95475380982,2.42324757515,1.81356451164,3.33578005517,2.29849053449,2.74416866515,2.14080392773
(1- 41),2.24460381848,2.18849561344,2.49706416927,2.32170992055,2.16654415972,2.57456498262,2.25633977174,2.47526739821
(1- 42),1.9010746738,2.23541078823,2.43427497044,2.71590769404,2.24077752625,2.0815768606,2.38171732164,2.62651993801
(1- 43),2.76882062116,2.20020009481,2.41820079306,2.23740438493,2.60188733768,2.36357310598,2.43214738496,2.29439521015
(1- 44),2.45704001318,2.58434120633,2.35072342875,2.27978535942,2.37442146998,2.48555365749,2.41563795003,2.24777265925
(1- 45),2.48892352515,2.35841658053,2.50232894901,2.30664509238,2.47891517575,2.41354541569,2.18096005752,2.50851120098
(1- 46),2.79935294431,2.23180586312,2.17945805615,2.6377449248,2.66020313568,2.04074596924,2.31068993437,2.46022335251
(1- 47),2.63421658497,2.71803466363,2.22410547292,2.37751851554,1.96861969696,2.59494277868,2.76017364743,1.9071539429
(1- 48),2.49609583587,1.91939574683,2.58090844171,2.45839177621,2.51754664209,2.23661652846,2.35227462624,2.20842340126
(1- 49),2.63051245545,2.20021904945,2.34459675574,2.33752923717,2.19972309145,2.51951175946,2.38702268838,2.47798806544
(1- 50),1.78812477388,2.21888881548,2.24032167137,2.31688492745,2.36064537275,2.96178809392,2.58870330985,2.31015387731
(1- 51),2.35979876625,1.80825895295,2.53369957359,2.5995170872,2.11282707756,1.92398500362,2.92851461872,2.35415647866
(1- 52),2.47295767025,1.9205875062,2.25597242286,2.04739062527,2.45930158813,2.87895859912,2.82902478294,2.49993724785
(1- 53),2.708796019,2.17342564063,2.30215821472,2.48507694794,2.56865421801,2.45420190269,2.1120885935,2.63006500735
(1- 54),2.62747085284,2.09327653542,2.5032646808,2.25345130066,2.00069525536,2.86289259086,2.33225258592,2.47856284145
(1- 55),2.10518441519,2.42617978907,2.3388147845,2.49475260285,2.09632010347,2.32100121069,2.63650486477,2.6543746332
(1- 56),2.97618249872,2.1502487512,1.83048332996,2.5289524284,3.0381414388,3.10312498499,1.82215099608,2.20651488429
(1- 57),2.55029589321,2.29157295378,2.36991938771,2.02672975714,2.19572157731,2.61666750636,2.55459415017,2.60238464705
(1- 58),2.56670761114,2.44918783739,2.29403770155,2.53172863786,2.61607994744,2.50108946195,1.74955967756,2.51969010203
(1- 60),2.64630033571,2.61742693919,2.15620217606,2.45464061614,2.33658998255,2.23422514153,2.28605639533,2.57424768625
(1- 61),2.56528068792,1.57959488611,2.19665226796,2.64558712354,2.10024262043,2.8225547297,2.3211165294,3.1246549991
(1- 62),2.58020514664,2.32517800597,2.24910371414,2.33505088024,2.28482969474,2.6008837,2.54758784117,2.32674914497
(1- 63),2.20135452322,3.31503896304,1.67202009991,1.61064257101,3.58922726882,2.73089571653,1.82805679334,3.04870681903
(1- 64),2.21841684426,2.09996959732,2.49688116474,1.684955653,2.48536022562,2.8810290508,2.72081101557,2.85378106391
(1- 65),2.13436426752,1.63701663583,2.40981797518,2.42988680237,2.90907331366,2.60131019805,2.22153497301,3.01766527203
(1- 66),2.85487199856,2.3809663595,2.39652870047,2.30872536657,2.33597213321,2.16347193107,2.53927029371,2.2146007146
(1- 67),2.17549992618,2.87963110713,2.32414738805,2.89968408237,1.72991928895,2.17212478059,2.23367249267,2.02503591743
(1- 70),1.92503546669,2.33910299696,2.09423438904,2.00082367274,1.32842680637,4.03409343896,1.65260662397,3.82927531983
(1- 71),2.47650508059,2.37643166646,2.08382030987,2.4627989211,1.83348299065,2.62123444924,2.56412962479,2.50615038684
(1- 72),1.56321591008,2.38357675912,2.07442280708,2.36591534696,1.69456900757,2.84322512868,2.78157409317,2.71573702033
(1- 73),2.38407854108,2.42717326902,2.1894067179,2.24011042827,2.1561804705,2.72028056186,2.62852199598,2.41942852803
(1- 74),2.42232975859,1.57556270077,2.23567697582,2.07547682318,2.49353606519,2.55719927349,3.19015893362,2.76340508245
(1- 75),3.38859364406,1.84333477431,2.22637299694,1.56077995441,3.1133003296,2.26045153872,2.93656947512,2.37473750852
(1- 76),3.2136801738,1.99026116821,2.1717575714,2.173190569,2.54692163958,2.88223809157,2.1270944103,2.435750241
(1- 77),2.59713020448,2.25975073232,2.44900151364,2.25827008341,2.42157425386,2.13589124723,2.75461889993,2.37996079347
(1- 78),2.25948963127,1.69585223903,2.55607664097,2.3068254307,2.24141147896,2.61028178846,2.81774057844,2.40225038561
(1- 79),1.34599361857,2.11714684108,1.89694500762,3.24241118763,2.40984165379,2.74448186935,2.23291199604,2.86852719746
(1- 80),2.00609264465,2.86788042148,1.99343230021,2.1204908199,2.1362598516,2.49951984669,2.94607469366,2.5887575973
(1- 81),2.32085651501,1.89884921771,1.88223914501,2.51233601868,2.82933465766,2.24318306625,2.76068722248,2.66449831192
(1- 82),2.43743945536,2.2693636478,2.49199418418,2.16388214927,2.07974138793,2.62766690001,2.61725273694,2.38780927721
(1- 83),2.70281014318,2.44544819325,2.43031975804,2.1800996088,2.20666033582,2.48652948225,2.30004938732,2.45147243483
(1- 84),2.7687609992,2.05399545249,2.47149356266,2.22499602844,2.28824541111,2.49940292488,2.37717331543,2.41691347211
(1- 85),2.65327715262,2.89203474362,2.54195031074,2.33165901247,1.98604944857,1.98054931699,2.44077751771,2.21573006004
(1- 86),2.57787017416,2.06719777299,2.61303275063,2.23023782042,2.34428538166,2.76048756166,2.37016691476,2.17162744243
(1- 87),2.76769304991,2.33987077674,2.21367330211,2.50515454671,2.249553354,1.99084178825,2.69078498083,2.32729213099
(1- 88),2.48891085262,2.3174452312,2.51897417801,2.63846640067,2.51824681913,2.27758446357,2.20343308644,1.99933733636
(1- 89),2.261931442,2.39074595845,2.05083687559,2.37788194064,2.9050745514,2.21951723879,2.4570244481,2.65871492084
(1- 90),2.36384908947,2.37440679676,2.35047822975,2.40466066825,2.28418070818,2.69949529855,2.49797882136,2.23750208468
(1- 91),2.44070780572,2.23146612492,2.55043902385,2.4227030062,2.24683493058,2.18562085437,2.48512536581,2.457342817
(1- 93),1.83458162573,2.48671952778,1.38004661918,3.80334779638,0.246817379632,2.85181797393,3.65287966001,2.50472333564
(1- 94),2.45012423035,2.66893656118,1.87708624552,2.5631392429,1.68267067436,2.79200736046,2.77193794073,2.05628856348
(1- 95),2.63395451775,2.49146505528,2.31604009475,2.4588406223,2.09426669595,2.35523565191,2.61983022576,2.14066659624
(1- 96),2.17155569137,2.8253041321,2.51926912928,2.31904598935,2.5450881165,1.84681201815,2.34524194945,2.5600430513
(1- 97),2.28671318583,2.55575335813,2.43752710988,2.44360017369,2.12119467973,2.25548920933,2.5485422805,2.37706802252
(1- 98),2.44340779092,2.71753188971,2.31731242617,2.2856508844,2.01205933722,2.53008981404,2.18866018452,2.63295280333
(1- 99),2.25525299319,2.80153478698,2.31684966011,2.52137024835,2.58886412225,2.1470297069,2.18334017814,2.562499087
(1- 100),2.37828133714,2.14149611836,2.45251193118,2.27123617818,2.18106831613,2.36656636475,2.74748637529,2.57653164721
(1- 101),2.42410785526,2.27870458452,2.10733400435,2.4554807204,2.71577814737,2.56398679564,2.62115926616,2.12067266637
(1- 102),2.07356350845,2.2245231971,2.47889275902,2.23651849349,2.80174670363,1.84970229809,2.65840546742,2.63330665172
(1- 103),2.52196770812,2.58992722786,2.56331871375,2.53976842735,2.04623505687,2.35934296228,2.32854452281,2.18729281244
(1- 104),2.12360142957,2.37906319574,2.32431833927,2.14154841381,2.73255668696,2.68539719419,2.44702512099,2.23041623468
(1- 105),2.52119157454,2.49528978432,2.33412465697,2.33679549961,2.45838069624,2.56590927867,2.37757180109,1.90322969234
(1- 106),2.26038985653,3.11493011609,2.14864239578,2.02490160962,2.33077057986,1.97092687688,2.2818936476,2.63969576579
(1- 107),2.17888351549,2.21556031546,1.99000180181,2.0807650471,2.47290992878,2.66155845197,2.7036832871,2.82534574184
(1- 108),2.61745239049,2.62533084083,1.8905970086,2.25616774849,2.80565826516,2.51717169296,2.33201635478,2.18997040312
(1- 109),2.96544601304,1.50274964474,-0.193520374167,1.81230734149,3.64391654088,3.86640375973,3.05788031163,3.57473729893
(1- 110),1.60557713103,1.97672166576,2.44508761466,3.34596043308,2.27345131847,2.11559679189,2.01672257249,3.28898924184
(2- 1),2.35164034623,2.1976530786,2.05978010956,2.48368201361,2.06781771305,2.37994069671,2.71381668064,2.69588518218
(2- 2),2.48021100869,2.26960867404,2.64269853799,2.07307199726,2.40335674583,2.29357406865,2.51979194294,2.38130231439
(2- 3),1.79584811229,2.72927493707,2.67667434038,2.29819738585,2.59798536228,2.55892391677,1.72264900389,1.77559310689
(2- 4),1.77246119359,2.16189675816,2.50995292071,2.61754897785,2.22054380531,2.1954599285,2.92740865632,2.38342754313
(2- 5),1.84503219623,2.34414007733,2.63244542356,2.3988015336,2.48019402914,2.73698369097,2.01540202208,2.50503993231
