patterns\K,0,1,2,3
(1- 1),7.36754348167,-0.708735199896,7.10235334066,1.28822145737
(1- 2),3.41490683201,3.98201057178,3.35055333916,3.45548394488
(1- 3),3.54570129736,3.56443539944,3.50046966848,3.33588278808
(1- 4),3.61639971949,3.34442299249,3.66504135625,3.36218927804
(1- 5),3.75743450527,3.43209152282,3.36031350663,3.4571868899
(1- 6),3.29447394214,3.49437894613,3.49938214496,3.84638151099
(1- 8),2.49239843354,5.13318089298,4.5354578215,1.87098888998
(1- 9),3.58445073723,3.45331035584,3.31871687952,3.66995244265
(1- 10),3.6706884448,3.85320721683,3.17649700895,3.36912189306
(1- 11),3.39862614818,3.555653628,3.84128214728,3.21803853104
(1- 12),4.45091790244,3.00992590397,3.08766056493,3.40498689961
(1- 14),3.2579119845,3.77292398232,3.43249139267,3.56902538831
(1- 15),3.56076776039,3.68048823008,3.40104227634,3.38214776713
(1- 16),3.80170754409,3.46048905561,3.40172236364,3.32804474876
(1- 17),3.34151729402,3.66542465763,3.54698315821,3.35625629053
(1- 18),3.10373352157,4.16277553217,2.72441943838,4.23675084534
(1- 19),3.49374874349,3.38828083734,3.55826112598,3.65394529884
(1- 20),3.60521482218,3.43907472091,3.29003009904,3.74435298628
(1- 22),2.53865094824,3.03377625733,1.74609998293,7.94640139128
(1- 24),3.40486749195,3.90820477876,3.14209814051,2.9269070835
(1- 25),3.90636466497,3.44879952428,3.10751938924,3.42896427223
(1- 26),4.01076396726,3.48099349188,4.77436679993,1.82174277741
(1- 27),4.32512698137,3.22693015171,3.40834861025,3.11004580868
(1- 28),4.03301698007,3.63975144413,3.18045671515,2.94300878712
(1- 29),3.83584682274,3.5297425533,2.92874676535,3.45414999207
(1- 30),3.32179929318,3.47347674155,3.570921933,3.65383156381
(1- 31),4.1542719587,2.45390840621,3.1840134027,4.43469565326
(1- 32),2.62694699355,2.9234172885,4.50382247149,4.27256845109
(1- 33),3.43880843164,3.25046841512,3.70162097564,3.68985667005
(1- 34),3.43468297515,3.39432060691,3.46033706935,3.87113692219
(1- 35),3.47897888067,3.58183528247,3.26349078884,3.74828313589
(1- 36),3.59271321986,3.44960480925,3.38472471844,3.6102594229
(1- 37),3.07180185039,3.67575716959,3.66842470067,3.46399641388
(1- 38),3.63847936894,3.304742014,3.55464654474,3.55644394598
(1- 39),3.56859207907,3.15905131385,3.66580440646,3.69671525711
(1- 40),3.81308402903,3.26393874624,3.12499281285,3.9688563835
(1- 41),3.40533194228,3.85514959793,3.13759007216,3.40172241604
(1- 42),3.48624544773,3.57836584238,3.18331304467,3.76114576227
(1- 43),3.80637942216,3.37560914821,3.36465302808,3.4637768832
(1- 44),3.51298874832,3.53146116555,3.45063491005,3.52888474362
(1- 45),3.64268382495,3.29773853312,3.61554446642,3.50602979822
(1- 46),3.76847254964,3.22445439549,3.46836406403,3.61612569148
(1- 47),3.39147261926,3.08312275107,4.05518461682,3.52799303294
(1- 48),3.74239660506,3.56913691188,3.13103756471,3.29821264203
(1- 49),3.55677232503,3.58723307948,3.27994832256,3.54223534484
(1- 50),3.38006475828,3.35201670591,3.54314941574,3.5698953743
(1- 51),3.16963190694,3.51167625512,3.9909662128,3.29985168604
(1- 52),3.84973610056,3.22834727547,3.25871045198,3.72144382301
(1- 53),3.25510554356,3.73112636114,3.50974803559,3.62361780336
(1- 54),3.41917426862,3.80668865149,3.5127105367,3.26844493508
(1- 55),3.69845128007,3.31038369828,3.39329283297,3.69752093978
(1- 56),3.27007328454,3.32260265465,3.67617795576,3.9016693827
(1- 57),3.50765415526,3.44152469057,3.43065965496,3.66745381091
(1- 58),3.55059634891,3.37187335197,3.56200493169,3.57505295778
(1- 60),3.40013764449,3.40717199752,3.51869176105,3.75403395939
(1- 61),3.76841225835,2.57377126467,3.72025083395,4.08501765079
(1- 62),3.57749296546,3.37377800185,3.53671134604,3.58925625742
(1- 63),3.80635235627,2.41340113488,4.04120790272,4.05669553443
(1- 64),3.80022203661,4.05949116224,2.68974521603,3.50374131558
(1- 65),2.90243790716,4.04433361979,3.4041617645,3.87599834311
(1- 66),3.2294913941,3.38649688754,3.79102291572,3.67395830054
(1- 67),3.38826773157,3.45005758394,3.40311908911,3.69000885131
