patterns\K,0,1,2
(1- 1),-2.01483594265,5.30492590135,10.2006310033
(1- 2),3.86218309533,5.229378578,3.56821239464
(1- 3),4.14133850267,3.90175381232,4.31544411555
(1- 4),3.90748299205,4.10854093514,4.31482626531
(1- 5),4.04534125393,4.18724004521,4.18937218769
(1- 6),4.38210941141,3.95485627761,4.09581083943
(1- 8),4.45758665124,4.66912434209,3.49292726492
(1- 9),4.27109970674,4.15868194705,4.00226504664
(1- 10),4.32129548748,4.05717974655,4.16888210454
(1- 11),3.85117270277,4.67222083846,3.92038508948
(1- 12),3.37814047735,4.76425374529,4.17065695343
(1- 14),4.33802261791,4.09625027248,4.02560619424
(1- 15),4.10269183327,3.79728734439,4.43734134192
(1- 16),3.97189114396,4.26823837375,4.19321237202
(1- 17),3.80568685248,4.83080579839,3.65903750484
(1- 18),4.50460270429,4.3836551844,3.68089600894
(1- 19),4.17737199797,4.17830019684,4.10674938055
(1- 20),4.2289615165,3.69663597561,4.49893029266
(1- 22),8.16686821715,1.29536856039,3.86832661286
(1- 24),3.68393848285,4.21052124947,4.04664555263
(1- 25),4.48480553534,3.99100448694,3.90036320968
(1- 26),3.69456587239,3.40882454002,5.34670861788
(1- 27),4.01610756811,2.98740858431,5.41599149545
(1- 28),4.30207907549,4.33720692753,3.82057275091
(1- 29),3.57680172785,4.26311079269,4.49921267276
(1- 30),4.25290414819,4.0465427486,4.06789903361
(1- 31),4.15208031785,3.46993189418,4.9986589737
(1- 32),4.77346001339,4.34806094007,3.66392149565
(1- 33),4.07372883436,4.26765753516,4.09911954937
(1- 34),4.20372962623,4.25191812779,4.02112230818
(1- 35),4.18905613657,4.05083467948,4.19949458966
(1- 36),4.12045545593,4.2211867188,4.06614388564
(1- 37),3.46296577604,4.11018023555,4.47101992731
(1- 38),4.32931211181,4.0516021487,4.09879688479
(1- 39),3.89532749572,4.38161981361,4.15227521147
(1- 40),4.57539360258,5.02113047082,3.18804813358
(1- 41),4.14222382715,4.29050619289,3.81044402002
(1- 42),4.34848572586,3.98278507489,4.09406025166
(1- 43),4.26274748145,4.07460909956,4.102034016
(1- 44),4.10671181613,4.19146186426,4.12298014684
(1- 45),4.21166061173,4.00420016271,4.23824374941
(1- 46),4.25665274282,3.96939366985,4.23759586252
(1- 47),4.097300628,4.64014007953,3.70454587029
(1- 48),3.10886074313,4.55881810009,4.19663123896
(1- 49),4.10197626217,4.1413651977,4.14043067067
(1- 50),3.74146794638,4.24547826821,4.20609311853
(1- 51),4.1156615279,3.6991582661,4.09863856572
(1- 52),4.22404819074,4.08444664841,4.19655799829
(1- 53),4.38353374692,4.37162643502,3.74809831449
(1- 54),3.64496927671,4.6713285931,4.09012557289
(1- 55),3.68735680622,4.21064557448,4.47676849613
(1- 56),4.86346612241,4.05141198486,3.76786466549
(1- 57),4.24836610069,4.11098415123,4.0804351797
(1- 58),4.08440196531,4.27974476089,4.08764089144
(1- 60),4.36144610242,4.05054550669,4.11877279492
(1- 61),4.25031072857,3.89599303448,4.45939226372
(1- 62),4.31546395122,4.10783874855,4.05824715465
(1- 63),5.60817790125,3.94196711087,3.09785760371
(1- 64),4.82715237656,5.32229564727,2.55422164645
(1- 65),3.95867970938,4.85671640989,3.88651231717
(1- 66),4.2492878928,3.8630383723,4.3394336244
(1- 67),3.72252454548,4.03416814555,4.35026650787
(1- 70),4.03657340879,4.37639646652,4.17928756198
(1- 71),4.17791577213,3.95044949253,4.22548921762
(1- 72),3.45668136496,4.40014968763,4.03122830121
(1- 73),4.14639996716,3.70444375665,4.51302753809
(1- 74),4.24675093607,4.12304950347,4.17557092396
(1- 75),3.97185232205,4.99416462258,3.63970137485
(1- 76),3.22524925958,5.24212953394,3.94141275149
(1- 77),3.68791542741,4.54408950933,4.16133151081
(1- 78),4.2334680816,4.39833141976,3.74881302884
(1- 79),3.63510497595,4.60459837503,4.01044494134
(1- 80),4.10703173027,4.06710187095,4.31217228099
(1- 81),3.47674026654,4.78644144684,4.10800905901
(1- 82),4.23501885834,3.91337852902,4.27477497569
(1- 83),4.2488664309,4.18678937219,3.97611696844
(1- 84),4.23955082221,3.91376324581,4.25237858426
(1- 85),3.74340438819,4.49888212762,4.14874500558
(1- 86),3.9973140602,4.28977046387,4.10951241581
(1- 87),4.15213465039,3.70819538229,4.51480477308
(1- 88),3.70681946192,4.02292718102,4.59347981704
(1- 89),4.14535882645,4.45692472144,3.88240318575
(1- 90),4.23803146181,4.12527838177,4.07753314142
(1- 91),4.26088564829,4.17790432683,3.93059289641
(1- 93),4.2896972949,3.67282096072,4.61585540804
(1- 94),4.44055038972,3.37170862165,4.46875652309
(1- 95),4.22752680228,4.24326422015,3.95763651793
(1- 96),4.38560473416,3.98119199056,4.1973014302
(1- 97),4.11614461408,4.30461788893,3.98397822331
(1- 98),4.29086190605,3.84794407008,4.27918092714
(1- 99),5.65100846816,3.57309835071,3.4346093412
(1- 100),4.31320256749,3.98403500041,4.13048329653
(1- 101),4.06967435343,4.20992472178,4.19362421849
(1- 102),4.0700596205,4.66155482334,3.79611250923
(1- 103),4.53009988647,3.58122246554,4.33218761515
(1- 104),4.36418414188,3.97733394263,4.11372957776
(1- 105),4.01509008056,3.48830958951,4.63407068176
(1- 106),3.78130596828,4.06478227901,4.36297639646
(1- 107),4.27945538754,4.11217302839,4.07022237882
(1- 108),4.33568431699,3.97548683452,4.10566501813
(1- 109),1.06311941438,6.74264236484,4.35955520299
(1- 110),4.09798043125,3.91004029998,4.4881209828
(2- 1),4.02164260534,4.29728307666,3.99694157463
(2- 2),4.13575189869,4.16946733524,3.33333027495
(2- 3),2.8308192719,3.96333529958,4.95275588811
(2- 4),4.18093866095,4.33548278375,3.74433793693
(2- 5),4.29484531885,4.06478421127,4.0443157348
(2- 6),3.89594744276,4.72462255063,3.27362202335
(2- 8),4.10142301014,4.02791162262,4.31125830309
(2- 9),4.23199630101,3.88296329905,4.43864143537
(2- 10),4.13997299644,4.64193701977,3.65463807924
(2- 11),4.40363665999,3.91445796496,4.09838389741
(2- 12),4.35935886899,4.30765965804,3.77325977986
(2- 14),4.03927104911,4.16878916347,4.32546597283
(2- 15),2.58838532203,4.71568896916,4.03265668249
(2- 16),2.1017746301,2.05021737958,1.98097224156
(2- 17),1.28436801371,1.996222182,1.59891754929
(2- 18),4.2490022311,4.18684174279,4.01531563668
(2- 19),4.1938411562,4.42744072098,3.97157584783
(2- 20),4.24447921401,4.31210271928,3.72156951611
(2- 22),3.6747101162,4.59946312824,4.01953390203
(2- 24),0.232462626961,0.937752974479,0.835728302277
(2- 25),4.36277677739,4.55439997037,3.29883155167
(2- 26),3.77291752054,4.04340242615,4.54000236625
(2- 27),4.47868992892,3.91601649012,4.10524707522
(2- 28),3.99127942938,4.84100369013,3.37760661551
(2- 29),0.637261968995,1.16105266903,0.670880656642
(2- 30),3.3131755207,4.5952290764,4.26404937878
(2- 31),4.12870249782,4.58479936755,3.72047733498
(2- 32),3.43169071578,3.87540689149,4.97005023675
(2- 33),3.72785786601,4.44289575015,4.17766455395
(2- 34),4.04786383171,5.23149280125,3.31199086724
(2- 35),4.45655268102,4.36435125716,3.58514241993
(2- 36),4.33200279992,4.1568979012,4.01380637761
(2- 37),1.89714531105,2.14185019623,2.16670358022
(2- 38),3.98011018612,4.55084119242,3.61612134531
(2- 39),2.32650395713,2.70723988417,4.6718272943
(2- 40),2.1187127811,3.44478289591,2.9718256329
(2- 41),4.04948210002,2.58972239426,3.64095558537
(2- 42),4.07945279813,3.96797575389,4.23879686126
(2- 43),3.87806527802,4.35003140146,3.25099413379
(2- 44),4.56668703144,3.98576854338,3.85247065477
(2- 45),4.21990832749,3.79182175361,4.41092092746
(2- 46),1.18146041124,1.78025985185,1.75241077216
(2- 47),0.815527874691,0.232635758514,0.39880315275
(2- 48),2.42387404797,3.19139216363,3.98027246021
(2- 49),4.82815821763,3.3421966191,3.29550920055
(2- 50),4.07340014147,4.08186523479,4.41463638388
(2- 51),1.50925318994,1.64981074217,0.585356900863
(2- 52),2.50975926305,4.09467092413,4.09094953751
(2- 53),3.73864427299,4.15519034936,4.38027692979
(2- 54),3.96162788644,4.31889676054,3.70842916453
(2- 55),3.55139066834,4.33470944756,4.313802732
(2- 56),3.87670187714,3.94438691859,4.44760450876
(2- 57),3.62242475529,3.48019096122,3.12054733879
(2- 58),3.71412512471,4.58358509207,4.0652513775
(2- 60),3.94242387127,4.72432628629,3.65965102732
(2- 61),4.2592377746,4.12820645025,4.044697043
(2- 62),4.20737207878,4.10152819352,4.1692967453
(2- 63),3.97085794416,4.72663111217,3.39873239393
(2- 64),4.07150825387,3.89595298766,4.40461179757
(2- 65),3.74291680497,4.22423471609,4.56464366209
(2- 66),3.95014172673,4.46388518702,4.01468327988
(2- 67),3.31904970752,2.01206212771,3.84848226588
(2- 70),3.89808189828,3.55742449128,5.00016270481
(2- 71),3.11564290017,2.75479118051,3.20750996615
(2- 72),3.97138696893,4.20725913816,4.31115270449
(2- 73),2.93574182349,4.68008745692,3.96883641559
(2- 74),3.97247161156,4.4901732863,3.9400755966
(2- 75),4.07169546929,3.60653018028,3.90405479929
(2- 76),4.09321765296,3.95708549053,4.3073726956
(2- 77),3.10464020571,4.04019649143,4.61197028807
(2- 78),2.63326043628,3.41058825404,3.10780617345
(2- 79),3.73540035858,4.33819104501,4.18784298557
(2- 80),4.15488477739,4.38321747951,3.98956340701
(2- 81),3.6329426091,4.96279641994,3.38786181457
(2- 82),3.13069800418,3.49618288135,4.75491212213
(2- 83),4.21901832227,4.38348109898,3.7091133253
(2- 84),4.249503064,4.02380848504,4.18341107382
(2- 85),4.34726489136,3.89421915972,4.26658197631
(2- 86),0.586705886769,1.10023601104,1.18413711329
(2- 87),2.36676029755,2.91362059838,2.52282976692
(2- 88),2.74582084587,2.86040229038,3.95325496329
(2- 89),3.58452168435,4.86611591427,3.6351180273
(2- 90),4.27813008366,4.31792897322,3.77237961345
(2- 91),2.66200524359,4.0807438038,4.56975241446
(2- 93),3.14967358843,3.30147257196,3.35804083755
(2- 94),4.28114547486,4.3061266568,3.91689342321
(2- 95),3.84463442164,6.11852319444,3.90472913393
(2- 96),1.25104402139,1.70239309027,1.11329263421
(2- 97),4.18015933481,3.86720729193,4.45204265409
(2- 98),2.59086514046,3.66388072964,3.01713475759
(2- 99),4.00532675023,4.19750309877,4.08465338271
(2- 100),3.98904934488,4.04558834411,4.31361148941
(2- 101),4.36251611596,4.24770541842,3.61534846506
(2- 102),2.90920636756,4.19402955662,4.47815444201
(2- 103),2.01818956042,2.97541565866,3.48575952415
(2- 104),2.27096471254,3.62443530657,4.67029231911
(2- 105),2.60822098839,3.16000386872,2.78737838564
(2- 106),2.78054560385,4.67351484888,3.59072707492
(2- 107),3.26634406151,2.18873070333,2.58206930294
(2- 108),2.94711679099,3.73538109119,4.53686032172
(2- 109),3.69026363305,4.24528396752,4.48402273707
(2- 110),4.54900006843,3.62494693543,4.32006194282
(3- 1),4.32872652825,4.07046380434,4.02295946553
(3- 2),3.34400784844,3.63451422305,4.52987076118
(3- 3),3.95371483637,4.04436617394,4.32050471157
(3- 4),3.57317183017,4.37879870053,4.09850039173
(3- 5),4.30896836984,3.97186367408,4.15276910099
(3- 6),4.35042342625,4.21417574443,3.88599185832
(3- 8),4.05073723468,4.1631817049,4.03009641918
(3- 9),4.09825250483,4.30003862862,3.99487638075
(3- 10),3.78565891112,4.00764888866,4.45295782311
(3- 11),4.33782865018,3.69755958496,4.37823728702
(3- 12),4.1428063016,4.32297825764,3.86496342582
(3- 14),4.18266306708,4.10719393068,4.1822994595
(3- 15),3.71567619798,4.42608450919,4.17996038712
(3- 16),3.71086686408,3.65765956816,4.79091814778
(3- 17),2.98491705341,4.55423974838,4.33627582895
(3- 18),4.57728977743,3.90073420251,3.9901490109
(3- 19),4.38708131397,4.23161493759,3.84253486505
(3- 20),0.412828101728,1.33507266709,1.03976975427
(3- 22),3.79692409903,4.02825959307,4.62641795367
(3- 24),3.36527377414,4.48204542817,4.29806228708
(3- 25),2.45947016482,3.44708772856,2.79700414518
(3- 26),3.98345469738,3.9901902522,4.34884667293
(3- 27),3.30685979535,4.39091991286,4.81497619398
(3- 28),4.58437814772,4.02876021531,3.64789300793
(3- 29),2.81910464259,3.82866686976,4.65932990235
(3- 30),4.41193143434,4.09683888091,3.97120148554
(3- 31),4.10750418748,4.21237544472,4.10616567681
(3- 32),3.70614972879,4.40688695502,4.19665656863
(3- 33),4.18409164509,4.29188343369,3.97475070175
(3- 34),4.15789671732,4.07902610957,4.17077593758
(3- 35),4.06443206549,4.32727901448,3.97467450164
(3- 36),4.39382325206,3.87805078662,4.21342832229
(3- 37),3.23264111738,3.78605914068,4.10637528564
(3- 38),4.73325109963,3.81008174048,4.05699142319
(3- 39),4.02208608089,4.05183936826,4.29934084002
(3- 40),2.9540295305,4.41348778464,4.55013842667
(3- 41),3.97299821124,4.38532012218,3.97747579376
(3- 42),3.82560809803,4.76496781274,3.37515855144
(3- 43),4.17827207201,4.38980576931,3.86510513532
(3- 44),4.24521300633,4.15931805045,3.99860460951
(3- 45),4.38790842057,3.99332542768,4.21206255348
(3- 46),2.80520429608,3.54533545142,4.96555571803
(3- 47),3.66554215011,4.24590618125,4.24606342296
(3- 48),2.8804544643,4.49330399174,3.97382956972
(3- 49),5.04112168648,3.40757673922,4.11014965308
(3- 50),3.91795093462,4.56437583574,3.45333217203
(3- 51),3.56250548977,4.17866471922,4.18850879186
(3- 52),4.15671315783,4.0254582936,4.23959716853
(3- 53),3.53855680848,4.37713608027,4.21385250976
(3- 54),4.06936780279,4.41303748373,3.87686641462
(3- 55),3.73275801873,4.28654977901,4.3552185936
(3- 56),4.31043629256,3.79351482273,4.36873756777
(3- 57),4.11064280856,3.52683867363,4.79129980099
(3- 58),3.70553083425,3.72957276228,4.95237147437
(3- 60),4.17620470337,4.15547889067,3.99648622615
(3- 61),4.22331082606,4.02374320911,4.20797157906
(3- 62),4.46794775048,3.98709605474,3.96859053068
(3- 63),3.2993449605,5.05602928639,4.46420793753
(3- 64),3.6530457743,4.09395366678,4.40276704198
(3- 65),3.84723203631,4.37507306122,3.94108713999
(3- 66),4.79552162462,3.74992270339,4.01784151018
(3- 67),2.95991969175,4.51505659825,3.73734973512
(3- 70),3.62698466877,4.20545492762,4.5058752642
(3- 71),4.21394266044,3.74392625039,4.48552092487
(3- 72),2.23930876658,3.49376583199,2.90059737324
(3- 73),4.05959204769,3.98081298976,4.29222242152
(3- 74),3.42354106163,3.87151629497,4.42374233397
(3- 75),4.35662266118,3.8371087608,4.22398626592
(3- 76),4.54641261455,4.09789127616,3.86362930496
(3- 77),3.73434986952,4.38827074325,4.22424922455
(3- 78),2.96700628785,3.39615467252,2.3922030963
(3- 79),4.33065639173,4.2639569804,3.77487854089
(3- 80),4.12436902915,4.42834878336,3.81415724124
(3- 81),4.09519362306,4.05073464853,4.32479187936
(3- 82),3.79023705721,4.17568880056,4.21587474199
(3- 83),4.02890506919,4.15408179487,4.06045137104
(3- 84),4.22849807737,3.97915644009,4.24091694398
(3- 85),3.90415450326,3.97821501076,4.65931117582
(3- 86),4.75432229585,4.32030765023,2.65875936832
(3- 87),3.79725630219,4.33109130526,4.21106065977
(3- 88),3.08919064875,3.92589007259,4.29962386843
(3- 89),4.45752469899,4.49173334514,3.31789265571
(3- 90),3.62703104945,4.75325502576,3.91670578629
(3- 91),4.0223541606,4.31528832325,4.08576359544
(3- 93),4.61910830306,4.07834670875,3.74335956247
(3- 94),3.21794889254,4.20776377573,4.03815374685
(3- 95),3.73137560097,4.20622429335,4.4137471502
(3- 96),2.56764500584,3.92410397073,4.23282430935
(3- 97),4.03893011309,4.44142120554,3.87492923086
(3- 98),2.56326387296,3.70191196941,3.92919372541
(3- 99),4.47368248506,3.80868590851,4.25846485103
(3- 100),4.20882000724,4.20940357118,3.95639657886
(3- 101),4.05968917366,3.9466931946,4.40835946645
(3- 102),1.92007931208,2.92338466296,3.14226669947
(3- 103),2.71986846552,3.08048298613,4.55240090411
(3- 104),3.35310954185,4.85210967752,3.99459307238
(3- 105),3.24032109433,4.48515127512,4.03189403543
(3- 106),4.94927898135,4.40864184891,2.68412734278
(3- 107),2.54443615803,3.41063549931,3.71270001584
(3- 108),4.05643047663,4.64595367691,3.65766932312
(3- 109),4.31088199008,4.41120308953,3.8038783848
(3- 110),4.30166141264,4.08188932164,4.06568564307
(4- 1),4.25011065991,4.08965246441,4.07865313592
(4- 2),4.14500312027,4.53934490121,3.73427326591
(4- 3),4.09472200435,3.92998511605,4.24424811366
(4- 4),3.89451114862,4.0569301639,4.39599604628
(4- 5),4.43995287805,4.42209763219,3.4959466768
(4- 6),3.91050969038,5.41974903585,3.61972467125
(4- 8),4.56924140046,3.98376790255,3.91901748925
(4- 9),4.21804404675,4.52204912287,3.67650248746
(4- 10),4.11870813707,4.03830611471,4.26517943554
(4- 11),4.31126548617,3.75514640746,4.4198617668
(4- 12),4.06857289419,3.96762991713,4.34901797588
(4- 14),4.1904547901,4.18348946479,3.99378204791
(4- 15),3.90471170211,3.90576211384,4.59601704043
(4- 16),3.75217442649,6.1013862467,3.84232131807
(4- 17),3.53924942701,4.21607426501,4.57741855013
(4- 18),4.16336672718,4.2462787658,4.05689723929
(4- 19),4.14322131841,4.24460534164,4.04672244588
(4- 20),3.65285624022,4.11463540113,3.9693275225
(4- 22),3.9177202735,3.94889747529,4.57179118413
(4- 24),3.49489586038,4.65700302382,3.85206637166
(4- 25),3.84059544479,4.11998632683,4.42795924525
(4- 26),4.08320047688,3.77495392707,4.63752737633
(4- 27),4.47839904519,4.24125754423,3.74163337573
(4- 28),4.53795390256,4.03925237668,3.85661010326
(4- 29),4.68512901649,3.77563457887,3.78931857258
(4- 30),3.4803947606,4.29065081016,4.64329871192
(4- 31),3.57497710139,4.29002184752,4.46208047768
(4- 32),4.84793413208,4.25323586029,3.4515456891
(4- 33),3.96221395968,3.76399968517,4.6976667756
(4- 34),4.03611898229,4.07284702332,4.32457138678
(4- 35),4.5436108768,4.0268808739,3.92540726793
(4- 36),4.13594781379,4.17567576062,4.12681857351
(4- 37),3.17500440629,3.99900122658,4.40418798668
(4- 38),4.22470740954,3.75875822286,4.51285477681
(4- 39),4.18961199899,4.45438088538,3.74110388462
(4- 40),3.8763487133,3.65935875876,4.29979279256
(4- 41),4.10489031922,4.18521048504,4.1037561031
(4- 42),4.03177705962,4.4466389796,3.88634154982
(4- 43),4.08247335712,4.08376515592,3.9125820479
(4- 44),3.90955865647,4.25747773518,4.32921346994
(4- 45),3.93660262891,4.21156485857,4.37337288483
(4- 46),4.33367679857,3.53610648672,5.2280947463
(4- 47),2.81562466064,4.60490238002,4.38447329142
(4- 48),3.44662662431,4.5052984705,4.09653634092
(4- 49),4.06821134098,4.33140060753,3.9976922037
(4- 50),4.25561382858,4.20816757827,3.96461460738
(4- 51),3.67971236994,4.44875267548,2.98342420085
(4- 52),4.39729245973,4.32808201653,3.71487259933
(4- 53),4.1450817601,4.42855694016,3.84710006101
(4- 54),5.90415080131,4.07082390981,2.95680494607
(4- 55),3.78639583227,4.32768059661,4.21791634797
(4- 56),3.95452586049,4.04455183943,4.49037412319
(4- 57),3.92134473352,4.35466293989,4.13701397234
(4- 58),3.8562858189,4.23123291507,4.39854103894
(4- 60),4.20921698804,4.16427534632,4.06352041602
(4- 61),5.43579740246,2.65764076552,4.71007104318
(4- 62),4.07717097352,4.05426451152,4.27419597043
(4- 63),4.10961512475,4.36729251704,3.98277437849
(4- 64),3.87753592662,3.9992838795,4.51909670663
(4- 65),4.00026347853,3.9186668595,4.47887738216
(4- 66),4.13277740794,4.03048110387,4.24147168453
