patterns\K,0,1,2,3,4,5,6,7,8
(1- 1),0.667624587865,-0.0206493075678,8.63040282033,0.870993470319,-0.96446523566,0.365543681128,6.08985801006,2.3831942265,5.33090262019
(1- 2),2.17610149019,2.18257989205,1.38300505873,1.39888053954,2.71246953065,1.54073103373,2.76566787006,3.01784327629,2.62955842487
(1- 3),2.27404286056,2.18766156023,2.05955195684,2.09424413084,2.08620649077,2.39876359413,2.20028808595,1.92584528875,2.32146985928
(1- 4),2.22214898009,2.10293657316,2.0683663777,2.18162454318,2.33900197163,2.38953384192,2.09839374899,2.09853170286,2.0309315002
(1- 5),2.13420188604,2.21147052494,2.18157899325,2.16053408749,2.13003034748,2.14401634373,2.3348691833,2.11117467293,2.22775210974
(1- 6),2.5118094698,2.11492304026,2.04434672591,2.09088157506,2.31712376134,2.22211275207,1.9756466641,2.17949407334,2.08026994826
(1- 8),1.1164088317,3.09655063305,1.97668071478,0.113035796066,3.61274082754,2.80253083854,2.81213330331,1.18302495214,2.84477170752
(1- 9),2.34195746153,2.03199430604,2.04570424217,2.28729821585,2.24182341126,2.20181033593,2.41616973751,1.99459960802,2.06905668656
(1- 10),3.24548715088,2.47346180919,2.54289426277,2.05412903621,2.01185546443,2.28439777446,2.11206834736,1.10868197698,1.89432084597
(1- 11),2.43043549973,2.23948054426,2.60465635612,1.93592706302,2.29022347874,1.98689981877,1.72389735793,2.35727485675,2.0059556595
(1- 12),2.27408575396,2.01722894902,2.09100618166,1.92745954941,2.12305919374,2.13600596898,2.15200566275,2.35358670316,2.5427602889
(1- 14),2.33602310948,2.26989849677,2.2322992198,2.06744718269,2.25551881845,1.99162668789,2.28691241394,2.15258343417,2.00588357323
(1- 15),1.89639637996,2.20354326506,2.07025324834,2.43779910668,2.1737668584,2.41467710806,2.18922481804,1.85155652518,2.48258043025
(1- 16),2.06453328303,2.30698906485,2.12195110735,2.21450301679,2.13956188811,2.20515838356,2.34689040553,2.09058271101,2.17960474772
(1- 17),2.54870076625,2.53001241732,1.90924328601,2.2147452695,2.16244677862,2.17041057716,1.83757511926,2.17499758694,1.86561591079
