patterns\K,0,1,2,3,4,5,6,7
(1- 1),1.16293359486,5.80883170153,5.24192625116,7.76378740154,-3.38465712505,6.28036870112,0.329197904449,1.21995746089
(1- 2),3.27665006725,2.06342234336,2.20963896212,2.38127602156,1.67491707951,2.78587609327,2.33536511894,3.09638289249
(1- 3),2.48340538166,2.39640025984,2.22089563462,2.36246761729,2.66656138572,2.42245513972,2.48629294326,2.55089245453
(1- 4),2.37579428122,2.65381400131,2.75897035998,2.19918059829,2.53430322594,2.27149451462,2.43432407872,2.32954174157
(1- 5),2.26404417134,2.42670895949,2.5524650347,2.78692815741,2.24703465063,2.61519584941,2.27454901281,2.58760683315
(1- 6),2.62136655706,2.58411977717,2.40922960037,2.04673852708,2.49037614183,2.73080583989,2.44397517433,2.38147246862
(1- 8),2.10232345452,2.31500108665,1.9620584608,1.92570623434,3.14397029884,2.41197400559,0.952559113801,4.66562042039
(1- 9),2.21034301867,2.66659729328,2.22199226655,2.71421859,2.55477339634,2.60434547825,2.30627590034,2.46760921897
(1- 10),2.83144568779,2.6159179071,1.98054555246,2.75286419824,2.68977444488,1.77158024386,2.8672004125,2.19233975059
(1- 11),2.13150997884,2.2380851721,2.8132924233,2.75382956298,2.78181599827,3.00163812955,2.05557799017,2.02536698862
(1- 12),2.35127550765,2.70153632642,2.84499059861,3.08524826379,1.99406157489,2.14728166628,2.1450047904,2.45002677548
(1- 14),2.74473276519,2.16528996338,2.31978520199,2.29027863545,2.07580397425,2.86032660949,2.45897977112,2.61815097975
(1- 15),2.09451069795,2.11892167833,2.19867599551,2.52475740762,2.61346442523,2.76031677515,2.72739162663,2.66070199889
(1- 16),2.20958027611,2.39226539763,2.24167675498,2.6718180212,2.68625138008,2.63867253132,2.49599405225,2.44263196635
(1- 17),2.6345671724,2.70308385127,2.66669122104,2.45341992214,2.12354267824,2.26539192816,2.54754865451,2.09607342215
(1- 18),1.69676657853,2.38800755452,2.20973946706,1.82073735995,3.30141422309,2.7634183082,2.27471309309,3.48134364459
(1- 19),2.43957759612,2.31551573162,2.51518594021,2.74800334707,2.48193753517,2.51664671718,2.54253157573,2.21989949769
(1- 20),2.70922243469,2.21667339132,2.66444591608,2.33687369581,2.85110075699,2.36762056236,1.94348485108,2.39475427625
(1- 22),1.94293712817,3.04252354754,3.64021018659,1.92812345205,6.60865667963,1.77074038653,2.90024436956,-0.203507578114
(1- 24),2.83087956319,1.90274650551,1.70867918268,2.72052099372,2.55793420178,2.31023505884,2.10389645506,2.47742254622
(1- 25),2.63916688063,2.11188673737,2.09086200445,2.53994663507,2.71446659583,2.23536381034,2.58772748232,2.40509857372
(1- 26),2.52019310802,2.65196669412,2.83192309635,2.75938468277,2.27910428868,3.36908790804,1.83933799561,1.85891393223
(1- 27),2.87859866354,3.09704407045,2.45446422812,2.94466908517,3.39680167543,0.901714006159,1.76142781664,2.18949237232
(1- 28),2.64810128745,2.28727681515,1.97817661042,2.26871014328,2.11537965342,2.79240557301,2.85578014545,2.53644051377
(1- 29),2.6670458735,2.72244556975,2.17112181555,2.17777438553,2.58097462301,2.23806309849,2.62993392189,2.28188240806
(1- 30),2.62527230553,2.28386955119,2.64007115879,2.22975987238,2.34020783694,2.74382188668,2.57016231058,2.22603563949
(1- 31),3.47430974677,1.48402734726,3.52655613596,4.30496025144,3.66498840267,1.87886476044,1.50176344492,0.544932437545
(1- 32),3.75546900336,2.58754047858,3.28532513478,2.24624035958,0.261909538719,1.73210588693,3.34563687259,2.86042932
(1- 33),2.36267728688,2.53395689408,2.63351250678,2.45084757077,2.29066049559,2.43820887421,2.73009240497,2.32282018781
(1- 34),2.5063394668,2.10971801715,2.81469485216,2.11675520836,2.83832195475,2.7230581284,2.11781728713,2.56249926709
(1- 35),2.55608801994,2.62433931622,2.59662947432,2.74399560528,1.98311074884,2.2970909834,2.5453143967,2.37965029246
(1- 36),2.36608370891,2.69194711438,2.23199218603,2.64107637998,2.41334602178,2.33627444403,2.38400865626,2.65223497793
(1- 37),2.61791729278,2.31734590405,2.36160522387,2.59264892005,2.37096422999,2.53996863183,2.24694112924,2.4613182344
(1- 38),2.5156698576,2.2657603805,2.83278412969,2.38572973659,2.48966711627,2.62506721261,2.64582456386,2.01804325196
(1- 39),2.59751337962,2.19112296011,2.45062903368,2.70847354067,2.52371860846,2.60344235303,2.47955404134,2.21480983959
(1- 40),2.00690906477,2.52766266046,1.47616697745,3.29687892555,2.80889018676,2.84990422273,3.80026112171,1.85461817258
(1- 41),2.69060988024,1.96803610401,1.91686567292,2.60632075103,2.34358727985,2.16511590643,2.47658395284,2.89467090974
(1- 42),2.65673290918,2.67699842043,2.60256334555,2.07180562415,2.16947113043,2.75271720003,1.95803367794,2.44018830458
(1- 43),2.44801283451,2.58581451132,2.49880847364,2.39139316768,2.05302828476,2.39060384218,2.43820588163,2.91833889036
(1- 44),2.37944168154,2.7038627558,2.43793129259,2.39691448611,2.4651424505,2.69244294456,2.24140383214,2.44818721836
(1- 45),2.30474214121,2.7829022454,2.63344416658,2.27020494103,2.30152499894,2.56659545599,2.33662217274,2.60551475218
(1- 46),2.3072883543,2.52691632693,2.6532602548,2.24850736506,2.41459197762,2.19047885498,2.18535467665,3.08799324457
(1- 47),2.30815771158,1.46212447513,2.74357855506,3.03504037727,2.28670025496,2.35373169019,2.70334372077,2.55659358259
(1- 48),2.7312246562,2.70731565843,2.61368996906,1.69063822332,2.77647510566,2.53690610993,1.88995610584,2.10034645402
(1- 49),2.80944627964,2.29339269338,2.19218517707,2.5921922778,2.65773859261,2.28940773248,2.43667597868,2.29414355579
(1- 50),2.96232651341,2.1757520087,2.49868563738,2.22800184287,2.10630679134,2.03166326934,2.59164183056,2.48798674603
(1- 51),2.72755658412,2.60998462682,1.92825885203,2.11080573131,3.06760620482,2.2116285665,2.0552858525,1.78947144128
(1- 52),2.16481531886,2.98349267664,2.35206464349,2.63053854893,2.11500078221,2.67203443287,2.50813527164,2.53643723592
(1- 53),1.64932050748,3.20141139199,2.32829272493,2.20590716207,3.40678915291,2.66630384296,1.74658888898,2.87975535947
(1- 54),2.08056562972,2.06968526899,2.29601880025,2.67505768515,3.19434535469,3.32580083168,2.14439950736,2.05852729372
(1- 55),2.36120799531,2.50771442412,2.65122594582,2.54985834355,2.4534191909,2.38424580586,2.2723429035,2.57495405001
(1- 56),1.73979368365,2.9479385577,3.01685804666,2.22869466103,2.46080880325,2.46440298459,3.40506817682,1.9063224224
(1- 57),2.19568652939,2.57709112759,2.28576407905,2.63343896374,3.01653947152,2.49112433126,2.43438119851,2.18353236542
(1- 58),2.49036350476,2.55341119725,2.83541974343,2.40183971946,2.46161402009,2.33539791581,2.21637424067,2.4493431162
(1- 60),2.61866117152,2.76428157589,2.06155930931,2.35217687066,2.51657899387,2.64405243734,2.73470854763,2.15153865046
(1- 61),2.25620355715,3.35010989925,2.72127545054,2.19124852821,2.10124055842,2.65479109281,2.97584363021,1.89659020072
(1- 62),2.41570025167,2.6763437972,2.5132149746,2.53587897256,2.29009396545,2.47731989665,2.43030783585,2.45077549452
(1- 63),3.70384214742,2.7523783002,3.55263173628,1.75170389856,0.261320618785,1.82879824632,2.83175951073,3.28934471627
(1- 64),-0.262035115727,4.37356024392,2.71042450716,2.83978930275,1.39761480809,4.25498544677,2.8846597764,2.6291415485
(1- 65),2.50946394092,2.01938989014,2.7479275752,3.01069719306,1.84983304945,2.07794155633,2.01768234959,3.54218659698
(1- 66),2.31471666738,2.3243783787,2.47887603086,2.19016246394,2.77461616281,2.72774130972,2.16097052535,2.93557218745
(1- 67),2.37445727724,2.44425292775,2.52561054561,1.79245870632,2.46095485672,2.19621976841,2.26691567906,2.9825487935
(1- 70),2.77400172816,2.09372594647,2.70168872323,3.2285662292,2.79815300036,2.55252651041,2.32012049792,1.58846159931
(1- 71),2.27822750621,2.37993331338,2.34925731931,2.53564810215,2.62122817411,2.83090285148,2.20189658256,2.39851176135
(1- 72),2.8249799505,1.67758570091,2.36099103987,2.99315073021,2.17406483266,1.55146294055,2.57389624769,2.32075158445
(1- 73),2.71214688168,2.84383557325,1.99650517206,2.6958845009,2.21852145417,2.28606121472,2.1553409229,2.59792720067
(1- 74),2.4771800854,2.79379702468,2.55704291032,2.20239340235,2.25572751583,2.44693836573,2.26537126712,2.89969715131
(1- 75),1.53486572544,2.38851898092,1.76102548739,3.314141144,2.74491840927,2.89162901523,3.73891701793,2.1426018042
(1- 76),2.18110217944,2.99966231676,2.09308802179,3.11054762506,2.02861012748,3.53206542412,2.5167079019,1.75622948066
(1- 77),2.53135022719,2.61735731629,2.10485541619,2.56394489973,2.34725607881,2.45146004633,2.39295441259,2.66851836805
(1- 78),2.77701911315,2.3121138514,2.96769077397,2.51035891511,1.98880113294,2.61658650807,2.47333118266,2.11071374047
(1- 79),2.68465263725,2.52049261601,3.05491606057,2.36247558576,2.01001189437,1.7722199514,2.8793914752,2.25410868433
(1- 80),2.45327431581,2.59440240069,2.31470030936,2.52431335266,2.56986134632,2.62679615317,2.39274455139,2.35032252189
(1- 81),2.0998145225,2.94947201909,3.19760624492,2.35931985684,2.08693551549,2.40998246566,2.29279907507,2.33323809407
(1- 82),2.82899018721,2.18237776669,2.21034638009,2.04553043879,2.68002207728,2.44441993916,2.21635245576,2.87742600033
(1- 83),2.17259777478,2.80233150648,2.32336939859,2.57251596932,2.68096673244,2.69093632301,2.28622302546,2.29600858933
(1- 84),2.4980959158,2.66122857851,2.62669843108,2.36195461245,2.4067787827,2.4282433258,2.28127840672,2.33852932439
(1- 85),2.42453775766,2.39537462988,1.94857718469,2.8009355558,1.85182580019,2.98714899892,2.19146673192,2.91051226349
(1- 86),2.46696685484,2.41704924666,2.37415602184,2.36231849383,2.22870644002,2.65657088741,2.50736289775,2.72441760733
(1- 87),2.35761804013,2.51925755463,2.69860453373,2.36693355775,2.86435606284,2.07679933538,2.55052653677,2.09284324996
(1- 88),3.19183462184,2.39730327687,2.03617636288,2.30872099586,1.84739924459,2.6729533419,2.56762229807,2.20200976828
(1- 89),2.27977067658,2.87390566049,2.30770456635,2.80512078152,2.3192612117,2.46100947156,2.64865600098,2.24615751152
(1- 90),2.25859820574,2.62037815259,2.53558590251,2.1358776776,2.52223525185,2.80539400804,2.53022803058,2.39570762338
(1- 91),2.12966711497,2.18773073734,2.63682907099,2.48866334005,2.73995330047,2.22280540599,2.54670317956,2.51632714543
(1- 93),3.05420898529,2.19373463977,2.42705691066,2.62471441722,2.62775308198,1.9585557706,2.10501430591,2.89567067684
(1- 94),2.21320237687,2.11780387279,2.66215440556,2.50205470269,2.74966102313,2.64512762069,2.34173170698,2.35668067907
(1- 95),2.22971538846,2.42631263608,2.46834781817,2.99404597052,2.6202134678,2.75266742182,2.15052023813,2.14445022202
(1- 96),1.76942666892,2.47983111179,2.20624751152,2.53165298829,2.74623906501,2.54780934571,2.97953178353,2.70927714948
(1- 97),2.23796648244,2.25819062794,2.72263611549,2.04890237326,2.47235984452,2.86721654889,2.68621833787,2.37982635925
(1- 98),2.68001693186,2.33847652267,1.75788747609,2.5707291456,2.7211123468,1.9621746448,2.76146748263,2.42040440494
(1- 99),2.11600854853,3.80596135684,2.48345694266,3.91797706978,1.31290951398,1.16325654428,2.46394818976,2.94429426513
(1- 100),2.33772951595,2.74426851447,2.61271707724,2.70247106368,2.42398980181,2.30079515203,2.27068731954,2.32290110897
(1- 101),2.23772267799,2.37363563854,2.06810337955,2.77063058612,2.30829767476,2.51115167651,2.76132582634,2.78327911608
