patterns\K,0,1,2,3,4,5,6
(99- 38),6.50208696884,3.96358886454,-0.836727147321,-2.19261309982,2.74292076148,3.86243826572,9.37875488626
(99- 72),1.76053003607,2.92681445856,2.97388220681,2.88228695426,1.95662616137,2.99304347477,3.57759913266
(99- 11),2.92965309672,2.38344017308,2.50048849363,3.14020164701,2.36175674884,2.22881899784,2.71091488379
(99- 76),2.6512482185,2.74999725407,2.83811443069,2.53443074458,2.48468132443,2.75780035881,2.44645961037
(99- 86),2.5711345945,2.72595100953,2.67035659184,2.90248438266,2.48318717081,2.51428218121,2.692123796
(99- 57),2.57425211303,2.51612447683,2.5992671837,2.35140057894,3.0031940858,2.88098851849,2.51921015364
(72- 38),3.21599361745,1.55881597361,3.54120958328,3.39085602865,3.60805708015,0.616118716954,2.55164939731
(72- 72),2.4616274327,2.39394810265,2.45477860718,2.94417197175,2.75631024821,2.72991928805,2.75563370215
(72- 11),2.25419140073,2.68502961836,3.30310302569,3.26768220785,2.0803202513,2.1361241524,2.70982698677
(72- 76),3.08923078857,2.0239157793,2.64306610711,2.88983617443,2.93840197807,2.60922720023,2.20878039399
(72- 86),3.24282812033,1.95013222739,2.17520274482,2.3276054682,2.66057258597,2.88404275405,3.12371265925
(72- 57),2.57710391566,2.5768335153,2.71348326322,3.00977339152,2.45504497428,2.88034814044,2.24461104571
(105- 38),3.12504605436,2.60353976407,2.14101212059,2.91740337681,2.99000783829,2.49041563477,2.19188932763
(105- 72),2.62031396733,2.45845133399,2.64127629737,2.79006407877,2.70565640676,2.37823110528,2.95682964921
(105- 11),2.47707036029,2.35413818751,2.61507434674,2.54360013347,3.01326567231,2.3098999724,2.94413160747
(105- 76),2.84786445652,2.51704754359,3.07697353169,2.6768077542,1.80855041016,2.89406485211,2.86659486334
(105- 86),2.57508806637,2.73389273442,2.33796948206,2.73670654924,2.58654465414,2.78263141095,2.86106358717
(105- 57),3.03257252136,2.5886365193,2.11783029281,2.70313979337,2.73748747204,2.68369178535,2.53519731288
(11- 38),0.441723756525,2.04908326586,3.30929347176,4.71616023078,3.83549848308,5.32310624217,0.334515958334
(11- 72),2.62383598399,2.26401167644,2.86569162498,2.44003950838,2.27000449815,2.27766774324,2.65007250886
(11- 11),2.80391567117,2.25869025034,2.56770888042,2.33316801449,2.97571588314,2.83805941186,2.49104675913
(11- 76),4.07766030118,2.35246204678,2.24010543275,2.72267981558,2.44492047886,1.66233427544,3.02822199208
(11- 86),2.48514377002,2.77903592414,3.58286551205,1.7582731244,2.95954558726,2.70938280735,2.29264931651
(11- 57),2.48654320531,2.65779778512,2.49377547572,2.99056426839,2.66006782849,2.60187285874,2.56530844719
(79- 38),2.84111603655,2.32609412267,2.64948588258,2.72517224924,2.23335024931,2.69924766882,2.68966890639
(79- 72),2.63274522528,2.55538605467,2.5101009082,2.69499470247,2.73290229191,2.55864035125,2.75840273319
(79- 11),1.30877773702,2.02001496709,3.91606650436,2.57996495777,4.01166776484,2.61316096911,2.73333424575
(79- 76),1.24012677326,2.96487585152,4.08120126777,2.37293915531,1.84743592413,3.26233410413,3.38236005282
(79- 86),2.40255880756,2.80321371848,2.57935549419,2.9307717916,2.73853535949,2.51508459424,2.55894502839
(79- 57),3.06826464842,2.16934466617,2.78328945826,2.82047147887,2.28009839632,2.60981206781,2.71941032911
(61- 38),2.60371082913,3.07178588078,2.1117981192,2.90903406999,2.52055398977,2.74808873275,2.6715081171
(61- 72),2.32397753093,2.59806707235,2.74168037001,2.74587425972,2.69400803962,2.54100906546,2.86988405777
(61- 11),2.41775331137,2.4752857248,2.79418331152,2.79099002651,2.51688341804,2.60304471945,2.44119362915
(61- 76),2.54808102848,2.37925139534,2.47733183327,2.7772589053,2.42816750864,3.04552147708,2.86123932954
(61- 86),2.83278880889,2.63802939288,2.50772752225,2.65205512477,2.55538370531,2.42712440278,2.95399228319
(61- 57),2.27161695553,2.81661587131,2.80443200804,3.2783403468,2.34762941054,2.56216680724,3.0013696347
(16- 76),2.43650282103,2.22432694736,2.90628976609,3.07843776792,2.72294503062,1.96531185361,2.35565462177
(16- 58),2.51976226926,2.7855317094,2.94743628696,2.80361320827,2.55067369387,2.36828393688,2.3562971577
(16- 66),2.6569668027,2.92820758196,2.6569161356,2.49820874753,2.33890985762,2.6350386149,2.85944472759
(16- 37),2.42636005549,2.6840643171,2.54485415852,2.5894720783,2.6571159447,2.79849138238,2.85072145789
(90- 76),2.59270583015,2.67747592101,2.69298489,2.47686223972,2.77045158406,2.65964727257,2.73955135597
(90- 58),2.73814785531,2.53444679641,2.71380414659,2.39640105293,2.62528630311,2.84564674789,2.72030126095
(90- 66),3.38947906155,2.26183457013,2.46233691536,2.6275109715,2.50424677948,2.42118007224,2.71578292712
(90- 37),2.96325379766,2.39960307085,2.59360925215,2.61476944357,2.19467763213,2.62398139287,2.64014030985
(56- 79),2.80761872133,2.56044095263,2.38533899157,2.90377393973,2.47197688286,2.48577098611,2.79936255846
(11- 79),2.76115708889,1.9141629356,2.88392849229,2.77041242735,2.4268795699,2.74204111916,2.07905647866
(100- 79),2.93545185802,1.43854599805,2.9666142031,2.87764243281,2.01381169351,2.346559835,2.55339572888
(109- 79),3.23616931089,2.61323774652,2.74577502232,2.22029915649,2.58004017658,2.32730117564,2.88072235279
(79- 18),3.27819170149,2.63313081471,2.96263282916,2.4819120898,2.911790025,1.87577621475,2.67430613776
(79- 99),2.99058327405,1.8467844215,2.72266422153,2.74561353361,3.03183414641,2.80639243807,2.19959815494
(79- 34),2.89080415589,2.36867944048,2.53980358025,3.0637068863,2.47556616855,2.54698694637,2.49408234929
(18- 100),3.07799667717,2.89476983229,2.92754358476,1.92593685848,2.84092928198,2.30393899239,2.8168576482
(18- 84),2.52673810972,3.21551366369,2.5784399564,2.69512690603,2.47735924902,2.4304133004,2.69126508146
(18- 61),2.64385121507,2.29439901733,2.72784627787,2.80307258139,2.59179544882,2.52830825983,2.90260851663
(18- 109),2.50421055669,2.72669695113,2.68535922105,2.65696142057,2.74779087913,2.57897914233,2.7859640607
(99- 100),2.51068105051,3.09193381429,3.360415485,2.1188926395,2.23318573605,3.29227759122,2.32037335814
(99- 84),2.50368781655,2.64091888739,2.89126175618,2.69678140582,2.61640694156,2.72658841986,2.47260005044
(99- 61),1.63232223097,3.27177930532,4.03873996338,2.78739970202,1.52840974007,2.90392867174,3.07501801167
(99- 109),1.98098861617,4.391229805,0.674491914924,4.14540782698,2.44327200255,4.06045099665,1.58810610453
(76- 100),2.17270318647,3.10514138622,2.820991487,2.99245800232,1.6563472123,2.40550644059,3.80240157441
(76- 84),2.75570395157,2.85656009088,2.69174436413,2.66336702236,2.45639672056,2.57894521869,2.64411995548
(76- 61),2.56909718727,1.93287545815,3.11313554181,3.07042070456,2.7434343923,2.182126743,1.46734773016
(76- 109),2.02672847142,2.44670624176,2.77101021625,3.44017363558,2.04825208362,2.45053858658,3.61077732998
(34- 100),2.62182336893,2.45087624488,2.84111124386,2.90037903296,2.17301263962,2.67477793288,2.60517793411
(34- 84),3.17548833729,3.49105947337,1.59457091671,2.1925120529,2.16511561237,2.2700634876,2.49088996176
(34- 61),2.63873853956,2.59594547485,2.66086780464,2.80780755882,2.34300933395,2.62255372666,2.82745710643
(34- 109),2.84189635391,2.37618887765,3.04252782567,2.33454504568,2.95010084553,2.09499855288,3.05173791748
(100- 49),3.11592933541,2.20449632259,2.63221308119,2.6758298096,2.67528187962,2.75130865739,2.54850846883
(100- 99),2.09967385005,3.70456114916,3.12813380049,2.22626709659,1.93010945114,3.15133410803,2.73549802701
(100- 110),2.48529467892,2.28509144085,2.5076568166,2.20096711693,3.105096821,3.10156438265,2.76299015301
(100- 102),2.3684610335,2.87772508381,3.03781535998,2.98211996231,1.82489708085,2.55331570553,2.8367462718
(100- 65),3.18701755448,1.97227583798,2.7265760056,1.82499179049,2.18176072824,3.31312670814,2.98886697185
(84- 49),2.52555437668,2.41813092261,2.35245638672,2.91021943237,2.97190433599,2.7394067548,2.64643841813
(84- 99),2.87938620561,2.04946089887,2.29899839814,2.08781460341,3.31291010935,3.06761077771,2.6285817351
(84- 110),2.54660721108,2.60139753059,2.74637161857,2.83772213031,2.91774502756,2.61079599864,2.257670167
(84- 102),2.38300454587,2.72551331263,2.60095317875,2.65066041801,2.83638193932,2.71201799645,2.61968409312
(84- 65),2.47074879475,2.79007316507,2.48706895126,2.86028435946,2.85634749813,2.44686788141,2.52333113076
(61- 49),2.63356908629,2.38444599094,2.49377964269,2.31875633392,3.09215101399,2.34179479212,3.09599925211
(61- 99),2.9361658043,3.03049377885,2.5497917577,2.41835633754,2.28973976425,2.56598691119,2.65754935507
(61- 110),2.32714624868,2.5413323664,2.39943344023,2.60897182033,3.1399476748,2.62874280592,2.96353204242
(61- 102),3.07688283446,2.21813126194,2.06949812822,3.12446181363,3.1658172561,2.25049112214,1.98512914909
(61- 65),2.99538176049,2.73880178287,1.9959836295,2.46880540686,2.4453025626,2.86618054783,2.979251841
(109- 49),2.57983001649,2.37019914725,2.42333495265,3.05441416956,2.59895957283,2.66153973795,2.79882871146
(109- 99),2.87137354137,2.84294436422,2.51855127268,2.57650531034,2.28212091688,2.9658114376,2.34715689287
(109- 110),2.76829900408,2.75438160784,2.94846981152,2.50478491445,3.2194913627,1.96783480808,2.62114675549
(109- 102),2.62104508495,2.18226011622,2.45882395206,3.01172981522,3.07002008657,2.64866085673,2.33828089392
(109- 65),2.2004575236,2.63987079403,2.66665031442,2.94348804838,2.58494982051,2.61993337193,2.84153174529
(49- 33),2.56664976505,2.80253921503,3.13872396429,2.56999091902,2.758076366,2.24053351261,2.69294385039
(49- 99),2.6822203668,2.16912930602,2.91408796844,2.89293241732,2.30977880981,2.91375834718,2.27904898322
(49- 10),3.01510449364,2.15678894108,3.11183825513,2.7109868703,2.39684399406,1.90791518857,2.94223841412
(49- 11),2.30018976944,2.14982011537,2.03695846583,3.70742539418,3.39837655672,2.22775901934,2.9720050787
(49- 49),2.74568387637,2.79291161697,2.68470845114,2.58245349396,2.2093191701,2.64546362301,2.8108187264
(49- 83),2.34151758244,2.60126354525,2.67676286471,2.85628085025,2.56168991283,2.53184799557,3.03593637181
(49- 61),3.33981864316,3.08336012433,2.16740758757,2.90363064505,2.55663000724,2.00107119508,2.33724818709
(99- 33),2.6392067596,2.55275513951,3.03214519029,2.35031925063,2.90436077285,2.64853981616,2.05767644183
