patterns\K,0,1,2,3,4,5,6,7,8,9
(1- 1),1.17279999646,2.51350480996,6.39287691165,3.33995187553,2.33671278017,-0.99536268277,-1.21800157675,-0.93384298965,6.71433674468,3.84404225708
(1- 2),1.79796691961,2.33015416529,2.30015802046,2.47017447376,1.93315550278,1.56222837896,2.70386547493,2.64885149371,1.30834619464,2.17402822557
(1- 3),2.02034436056,2.20722828915,2.17661633003,2.03027028498,2.01966978147,1.93600279214,2.33658117879,2.45242625401,1.7931936975,1.99128437701
(1- 4),2.1453773264,2.06001654105,2.0718229328,2.05735628107,2.17881623784,2.24353556386,2.02897605538,2.10193380358,2.08148050181,2.09555579479
(1- 5),2.17796013704,2.04328607013,2.12790534591,1.88023461617,2.27810094134,2.19272883273,1.96183702504,2.13371998582,2.10625632696,2.15064863337
(1- 6),2.41936884152,2.01245277659,2.26424138491,2.31965274174,2.1059984522,2.19398758478,2.29287831052,1.70959795847,1.88253874878,1.75932614539
(1- 8),1.30848689053,2.80828001246,4.28112490078,2.1912991691,1.61043620608,2.44386092876,2.69642237916,1.64759960981,-0.00500980832899,2.21355454984
(1- 9),2.23929912383,2.09475067342,2.22508361898,1.88146680387,2.19908262572,2.15216235832,1.77153181481,1.94428262941,2.24344557974,2.24795775872
(1- 10),2.7301190694,3.61606013122,1.2006684035,2.19584506794,2.33304665519,1.28184018318,1.19059908669,2.69561414532,1.37800921045,2.21481066863
(1- 11),2.75377591207,2.1141451236,1.94078906305,2.05226080856,2.09796914875,2.09955570193,2.24509603852,2.01284741567,1.71409602272,1.92030619659
(1- 12),1.93528687923,2.00704416222,2.15342305777,2.12134685315,2.21106988322,2.26878182213,1.96209133478,2.04747932274,2.10499206132,2.28058100657
(1- 14),2.38062809142,2.15403427753,1.96299858388,2.10336020021,1.94976399193,2.12034385027,2.02282498809,2.16839946951,1.90360235786,2.18273381625
(1- 15),2.15585884157,2.03930736252,2.44203371463,1.73341028991,1.92582321462,1.8250256717,2.5136489317,2.07789997266,2.36225883926,1.81380662751
(1- 16),2.31974040223,1.90995133966,2.13071837918,1.75103079827,2.3014120057,2.19504928482,2.264916796,2.24967376503,1.93128200045,1.95992163227
(1- 17),2.69749205723,1.90466806331,2.13090878701,1.85104083874,2.17165794571,2.1856294279,1.93980710112,2.25527114489,1.89573968284,1.78481346515
(1- 18),1.13756451054,2.15398021595,1.92667605767,2.65440033963,3.57400524887,1.48082462081,2.77813510219,2.58614039634,1.21296148848,1.7820581711
(1- 19),2.11796835269,2.07996479476,2.13426100105,1.9812413835,2.34460335405,2.3263873081,2.19021935394,2.02346243458,2.00049781063,1.88814443715
(1- 20),2.29168693795,2.24512497753,2.19494666278,2.16067081844,1.91824608116,2.27518048643,1.71831637587,2.18199985607,2.09482805468,1.9476513952
(1- 22),1.82808478729,0.957661645833,4.91311315456,0.254010253048,1.8358559291,2.53129640259,4.12499526663,4.06783016392,-0.711391419589,2.31177732351
(1- 24),1.95734832313,1.90408006033,2.08836691848,2.13776937854,2.2763026493,1.49042137945,2.82297739244,1.88938956662,1.92176247101,2.05647041173
