patterns\K,0,1,2,3,4,5,6
(99- 38),-2.1752584321,8.86124044359,2.57936467066,-0.879744269482,8.23380372514,3.32669535483,4.00805702247
(99- 72),3.59313669241,2.95787758135,1.43544529773,2.4524238649,3.76400834331,2.3948538773,2.26333734869
(99- 11),3.09673023493,2.33629834214,2.79140646709,2.358340708,2.84920151209,2.41627552485,2.34981015016
(99- 76),2.66407532998,2.94870971173,2.45065775245,2.47271400601,2.85228207394,2.46849989705,2.85584562307
(99- 86),2.55639620142,2.86792516177,2.55875903768,2.59110843099,2.56874997129,2.55811426997,2.97343905893
(99- 57),3.02268608778,2.55139824476,2.66373575874,2.56095316584,2.36061816298,2.75593853716,2.58641548947
(72- 38),2.30880107419,3.25404962624,3.80964792279,3.1099664244,2.01355027379,1.98358370759,2.42451404222
(72- 72),2.87046803592,2.621477461,2.47956754771,2.53928079087,2.55325657617,2.7890063645,2.77874318346
(72- 11),3.03345637531,2.809438249,2.87801335357,2.61983288205,1.94195699391,2.29522257416,3.15505868496
(72- 76),2.89270459646,2.40003657685,2.35203475162,2.4464061338,2.74499668511,2.86383992127,2.92664787999
(72- 86),2.12622270892,2.92605084884,2.90126075039,2.56987512008,3.38663575293,2.76386988187,1.90991414841
(72- 57),2.38672185809,2.8700528302,2.89429456375,2.14554109452,2.83725913497,2.92559844068,2.57312277888
(105- 38),2.80611357286,2.82382186055,2.17731934103,3.14692534663,2.84354193761,2.56471666641,1.86900100016
(105- 72),2.55132237447,2.94948965688,2.18967362098,2.79608190477,2.72775426627,2.50388674497,2.97129279998
(105- 11),2.54646751846,1.94296273453,2.61200754704,2.92618214713,2.60769926445,2.43049336165,2.91639004574
(105- 76),2.59531045419,2.61472699774,3.27151975029,2.28170285421,2.71085879872,2.24745813336,3.09066094014
(105- 86),2.68427407484,2.59324599705,2.72645403834,2.34081567331,3.15140362766,2.85380811681,2.29234918788
(105- 57),2.60432415692,2.73026576587,3.02331168261,2.95176246501,2.50446643469,2.43140105656,1.96410286724
(11- 38),1.57239916251,2.23233178582,4.97243663618,-0.770440787499,2.92161437304,3.90832825448,6.46279890045
(11- 72),3.24575541133,1.35614171522,2.55007217284,2.958949159,2.01602501623,2.03007069209,2.60735294183
(11- 11),2.66316289908,2.42501365677,2.73775049216,2.95527466929,2.16840710852,2.3560779154,2.83931508195
(11- 76),3.58615031055,2.94910162267,1.76881204175,1.86156367822,3.32914349856,2.40237052091,3.20442840063
(11- 86),2.09676781613,2.23026675772,3.70506859328,2.07172901129,2.50999965267,3.11904745105,3.09395459428
(11- 57),2.87131899914,2.45085532023,2.53499858065,2.61571793808,3.19531352586,2.25788116206,2.48352554508
(79- 38),2.73538000602,2.82013846336,2.29515879332,2.69211563597,2.4845633231,2.73308625034,2.73522727619
(79- 72),2.47561577164,2.50543036616,2.46231188236,2.61314143668,2.76962961762,3.11097542527,2.57245791075
(79- 11),2.64082883225,2.60219661437,0.963538551582,2.16403923124,2.1457170636,4.38212605299,4.57181088543
