patterns\K,0,1,2,3,4,5,6,7,8,9
(99- 38),7.41722091472,3.83942684457,-1.96305034009,2.55017166456,0.388171925166,4.76371796076,-1.00430058777,8.5210737847,0.445116902858,2.39862210285
(99- 72),2.2394258208,1.79216824155,2.84832234773,2.34596460686,2.34740550089,1.9578161528,1.78494456093,1.1332752146,2.88330761051,2.84133407874
(99- 11),2.26820342906,1.97000263229,2.55717668598,2.02539828674,1.92870024324,1.82440668744,2.32468692468,1.97766268047,2.58050396383,1.99223988114
(99- 76),1.72816386396,1.98258676421,2.42982236774,2.1282276039,2.11643391903,2.38886785343,1.84478330574,2.416593048,2.47668463004,2.25707192022
(99- 86),2.10017090235,2.53046178661,2.0179916928,2.21765575189,2.32971152523,2.39392864843,2.01079093727,2.20525611254,1.96948978008,2.28304080905
(99- 57),2.47119003291,1.95418501984,1.7922603493,2.19829565715,2.5960354692,2.34680430899,1.95574833702,2.24837050255,2.01675337594,2.29171424138
(72- 38),3.02795847712,1.60397335255,3.14486082803,2.65806074822,2.06677554909,2.51431184102,1.3490934609,0.380382516046,3.12606941066,2.51102870098
(72- 72),2.38915909075,2.45629834018,1.8236376959,2.06441777158,2.30593687441,2.11659554297,1.86335672094,2.46131000243,2.36880580008,2.15470400411
(72- 11),2.40927875926,2.34117576447,2.4322116874,2.34548002201,1.69359558139,2.26752497633,2.12398530526,1.99369211116,1.5750628332,2.60482202056
(72- 76),2.41078526895,2.47136725538,1.79880554634,2.04815210079,2.28249004227,1.518221242,1.98870388565,2.42397329423,2.22679966295,2.53333899293
(72- 86),2.22239821621,2.35201394111,1.64524961914,1.9926127505,2.53260949941,2.09715226044,2.14706877265,2.64256230867,2.39571410322,2.03363439624
(72- 57),2.0955024787,2.25994755862,2.26598370715,2.29165044379,1.98750530616,2.06968418398,2.34646653537,2.26866488405,2.11647922073,2.12554931095
(105- 38),2.04172864176,2.07064800493,2.14470661144,2.3378119006,1.82792657122,1.65555912335,1.92723753536,2.6559328626,2.3943607966,2.4137599743
(105- 72),2.3891193229,2.33786607011,2.38468969045,2.33194012306,1.93620163367,2.30225104632,2.45739501412,1.90466663945,1.89104008006,1.97434058742
(105- 11),2.41343200268,2.00653995548,2.0390788686,1.63142038734,2.56040127052,1.97785163784,1.80709558324,2.40359273385,2.06067248188,2.53816021648
(105- 76),2.57166259464,1.86653382699,2.40705916849,2.52004414181,2.6279644095,3.06972708266,2.36946208528,1.70915198567,1.36191779849,1.82174750404
(105- 86),2.19842016682,2.34606590945,2.12204482442,1.94161878014,2.27878265999,2.62740038438,2.43364600321,2.05458251331,2.10370732638,2.05219119905
(105- 57),2.44522827188,1.96585005141,1.91148940071,2.38570896495,2.58723543674,2.11982826891,2.44319507703,2.16798452719,1.8634707946,1.79252169068
(11- 38),0.93102699884,4.18094822187,2.04902218314,3.56515546153,4.56207887518,3.48595248003,3.52123582363,2.67867881563,-0.0853006603118,-0.0893346800563
(11- 72),2.13388004422,1.82276433689,2.40562476898,2.00083854772,1.81538187086,1.50104086497,2.04713052546,1.30596295734,2.37678652846,2.44720272342
(11- 11),2.12858215423,1.78128484305,2.1455870936,2.16452859365,2.12412512058,1.71172305928,1.86224113054,1.73212310416,2.59865119424,2.80975036811
(11- 76),2.71420641759,3.25368681557,0.829258512917,2.05171948182,2.37825946135,2.11680511738,2.43491935349,2.08322681251,1.63457917548,2.80706432701
(11- 86),1.21394292671,1.6489785552,2.96036541883,2.38161855975,2.33852227917,2.23048707111,2.28427024258,2.68018069323,2.40541451669,1.83763921353
(11- 57),2.17832278451,2.21487868463,2.24793189444,2.34114042534,1.8016184708,1.7934116881,2.21767373216,2.51664937639,1.97720921616,2.22781283406
(79- 38),1.56348517101,1.98306332599,2.30486825944,2.26122642798,2.45458238124,2.01051430971,2.46066955253,2.03011228446,2.30608927403,1.96764517983
(79- 72),2.06019185341,2.37045896977,1.96206509875,2.37082400865,2.1226584341,2.16078909336,2.29305933958,2.38884379088,2.07446268716,2.02632788851
(79- 11),3.18780822166,3.3928319567,1.21774116114,1.27215266436,2.68897079527,3.17537564917,1.48448689308,2.98449910468,3.08787124727,0.808131555144
(79- 76),0.545931573999,3.48432075667,1.93166507492,1.48217062727,2.72866470151,2.27451506535,1.71921018483,2.93870252916,2.87855230995,2.72058647452
(79- 86),2.11895737272,2.4427896566,2.27712235323,1.87237025183,2.33949284376,1.99885837759,2.24054680205,2.10867948342,2.35776128114,2.19263682566
(79- 57),2.19555482005,2.46767036957,2.35351319249,2.12013390489,1.95406424716,2.4987105098,2.00845288682,2.6819286513,2.18808087705,1.71741323657
(61- 38),2.20978224049,2.55943808707,1.96423444371,1.98120643689,2.29642546864,2.39547634894,2.21871591968,2.16835827025,2.48531536003,1.78695841924
(61- 72),2.36457617727,2.1246605982,2.13311117338,1.83324190412,2.15979765036,2.34652209042,2.26370062257,2.22448405702,2.23264843452,2.20844782648
(61- 11),2.58909734471,2.3922395617,2.3356731471,2.04737414902,2.10488492832,2.02715637663,2.36705145406,1.91791456414,1.75147282826,2.12910768464
(61- 76),2.23515410828,2.39544118543,2.13733084779,2.32089442695,1.85337297087,2.28141065679,2.48991693261,2.253878117,2.32910362321,1.70957553919
(61- 86),2.32625366856,2.45330381861,1.94960467924,2.20786012294,2.43890636828,2.20454695436,2.30709542927,2.19163111854,2.1665724498,1.81633308336
(61- 57),2.58990540626,2.41365875182,1.55125288378,1.91044226069,3.154208531,1.5054700291,1.91769689192,3.09083126042,1.51304126323,2.7359750534
