patterns\K,0,1,2,3,4,5,6,7,8
(99- 38),3.16416723375,8.14131834185,-0.714812471652,4.13055053825,5.05586727103,2.26369461837,1.95151179578,0.768687542252,-2.24820217916
(99- 72),2.09443132585,2.13693187872,2.83979994182,2.47469671798,1.85779342144,2.45207034857,2.56344517678,1.63918945101,2.09656167133
(99- 11),2.29491947119,2.40214990801,1.96090675479,2.1636803315,2.16749841671,2.09910590965,2.09165571681,2.11842027023,2.42049610509
(99- 76),2.27235741543,2.02899206746,2.02198701285,2.36852686192,2.29499252023,2.26218704903,2.22991546037,2.187816063,2.20848984229
(99- 86),2.37440637152,2.18524863666,2.28433925109,2.17180684455,2.07621376168,2.26235231493,2.30446468696,2.18144464786,2.09163346796
(99- 57),2.29751646223,2.06861986565,2.23732129157,2.22964646474,2.04876297562,2.15881118051,1.95292020656,2.17462840479,2.60008849647
(72- 38),1.55235196531,1.26387871539,3.23394626273,2.1073842067,1.54652086078,4.26218598603,1.02576511489,4.00103517166,0.837032623136
(72- 72),2.18995694361,2.30136955669,2.10587212456,2.12183314307,2.13619740219,2.36454230814,2.36885131173,2.10278982964,2.15564900715
(72- 11),1.21547422523,2.62660663056,1.62900694335,1.88217746309,1.37468871293,3.91661082177,2.14709696833,2.73013924778,2.12564370681
(72- 76),1.67575886734,1.94564043651,2.06700251765,2.45284650458,2.26560564559,2.3104195077,2.34924707846,2.40397585735,2.2750468796
(72- 86),2.42210480755,2.26307257125,2.2043357478,2.19115005624,2.27244177857,1.9363622176,2.15493284085,2.0634074652,2.34053714654
(72- 57),2.37823619951,2.22186181643,2.12270947233,2.24397555479,2.28950286239,2.27141669141,2.24356226003,2.12616875771,1.95687991052
(105- 38),1.78171567164,1.98587889399,2.6409068068,2.3480038085,2.26388082318,2.5730470574,2.06391682686,2.05381148266,2.04536612973
(105- 72),2.13157710674,2.32932602412,2.14909966776,2.21420646478,2.22833436676,2.36613629647,2.36646818405,2.14112792002,1.89544168004
(105- 11),2.21194499927,1.83756654073,2.59893341794,1.74128390861,2.5127406043,2.40167687051,1.77293489561,1.91372636548,2.42790319768
(105- 76),1.85541444679,0.752114478756,1.42312522522,2.39091897484,2.73371584708,3.35758218521,1.74471071792,2.10693230514,3.35913359589
(105- 86),2.26805334343,2.031689687,2.08601901533,2.21253833646,2.25223630724,2.38120063708,2.35845649948,2.25963866173,2.09796763504
(105- 57),2.18959428657,2.53143040325,2.58336923915,1.84100711615,1.71350956779,1.9085499726,2.0393761232,1.92821221073,2.75614615767
(11- 38),3.4843603868,-0.576899001388,0.117320525865,2.93671866731,5.76521796791,3.28008760365,3.14411237522,3.1044712438,0.887338214082
(11- 72),1.67434123106,2.65383312084,2.33089297227,2.20287709623,2.23166341017,2.32975775978,1.86398348809,1.78867748855,2.00539539074
(11- 11),2.12682752289,2.17588023642,2.3126833924,2.05728561271,1.98595916302,2.19021350181,2.01661311663,2.43508174836,2.35675496789
(11- 76),1.28671590964,3.73803845615,1.47579182423,1.56103738363,1.95617951481,1.91939698628,1.47524788543,2.45011350521,3.05952921173
(11- 86),2.93156768802,2.22083541307,2.47555595769,0.972638407865,3.30124037618,2.12303582535,1.67537336753,4.56564668024,0.241460565516
(11- 57),1.74498210594,1.70586124774,2.18917100378,2.59002041665,2.29736677795,2.59005943885,2.05803586642,2.17088490583,2.30762426545
(79- 38),2.57142440133,2.0588623374,2.18455020093,1.8806921725,1.87615090958,2.19816269123,2.52304033961,2.1989262363,2.39782639913
(79- 72),2.07191516428,2.14507055751,2.07045276747,2.27088991966,2.68047132482,2.36213410477,2.14058637708,2.16502848299,1.82479315595
(79- 11),0.696997849493,1.64032249975,1.54643568593,3.99100984996,3.15134270555,2.11186749486,3.62308821988,2.55689381586,1.16056090925
(79- 76),3.90947362991,1.69579174359,1.9102693761,2.13115149474,1.93007064823,1.46197448522,2.40523657082,3.06429604162,2.09026248703
(79- 86),2.52088506043,2.19006822398,1.92544331811,2.39447534604,2.37227749121,2.19523680156,2.1142783845,1.88015250287,2.28294491309
(79- 57),1.42196625868,3.11440308662,2.13649127504,2.80719512901,2.14404426896,2.5945352556,1.1589794922,1.99747471184,1.99200042959
(61- 38),2.27242335052,2.0082627505,2.22115732611,2.37157997884,2.36257512397,2.32008643994,2.19413998904,2.05134071705,2.08332993542
(61- 72),2.15794102971,2.24286526848,2.23281183225,2.05816200491,2.28046771874,2.18124107917,2.23121753154,2.22334111936,2.17808122701
(61- 11),1.89642778866,1.87854691356,2.22601422554,2.10881973927,2.16858445221,2.53147711569,2.19886010964,2.57059379641,2.07941989988
(61- 76),2.12166192076,2.40186570372,2.08832662449,2.24456211294,2.48670219886,2.12467612124,2.29669037351,2.02208631769,2.01351962168
(61- 86),2.27105317473,2.25269640443,2.25189603952,2.40138981983,2.39178367532,2.12122068413,2.18062915993,1.98513761764,2.00472616079
(61- 57),2.58011329295,1.99054573388,2.80651397197,2.38451697479,2.75765252817,1.62287594869,2.22278810775,2.73936321134,1.27721218699
(16- 76),2.07475613295,2.03142378982,2.40426400182,2.18047630194,2.23214813315,1.93007015579,2.17033806886,2.0499349398,2.32577798797
(16- 58),2.18510468886,2.30871675912,2.27277523195,1.92009278759,2.30721310221,2.28645843543,1.8878349178,2.52170559362,2.01995235869
(16- 66),2.27124472305,2.29787454545,2.00900449418,2.21300510425,2.39988065818,1.95335407511,2.5871120988,2.11830177314,2.11732374157
