patterns\K,0,1,2,3,4,5
(99- 38),8.76795419137,6.34873048607,-1.98319506389,4.00320405639,0.519051703202,1.11621636131
(99- 72),2.99669475966,3.97013443142,2.74273277405,2.22822306929,2.54740558144,2.05656729779
(99- 11),2.74905389648,2.8956715861,2.68758023822,2.5677281498,2.74856756128,2.7387594374
(99- 76),2.66630390537,2.84142722375,2.70555038263,2.60080735698,2.87723759431,2.67337590331
(99- 86),2.7649312342,2.66505685497,2.83303340827,2.77300169993,2.65303973531,2.65344579514
(99- 57),2.64400576811,2.61663896855,2.54194933549,2.95132099623,2.88559633092,2.70446503171
(72- 38),3.97739149148,0.906596080147,3.18315471514,1.49279381746,1.90672289373,5.20657273006
(72- 72),2.73480779769,2.57809843254,2.85032471304,2.57168894939,2.97807386336,2.65283485726
(72- 11),1.74125376287,3.23791916326,3.18841976591,3.44966254282,2.19983388005,2.25478603226
(72- 76),2.85590744195,2.7227022411,2.80856720501,2.94546684947,2.56157953074,2.43504125063
(72- 86),2.89045867697,2.94907170213,2.71562282739,2.97120822557,2.44457411559,2.31615820495
(72- 57),2.74631054101,2.77754349541,2.83175016424,2.55240378551,2.83805349669,2.63611520239
(105- 38),2.74151007194,2.74834981189,2.95171796905,2.75996591369,2.59053213023,2.52498821476
(105- 72),2.76734797757,2.75745618036,2.7427807679,2.73217354494,2.7292763389,2.63582089591
(105- 11),2.48375057,2.69440563495,2.9253617013,2.8189723932,2.78713080921,2.50662884814
(105- 76),3.28813225811,1.98395569892,2.47489614002,2.18685148487,2.50109211738,4.15284670098
(105- 86),2.78812507014,2.7578005849,2.66157308074,2.65046589145,2.86072859,2.70168937635
(105- 57),2.82929310808,3.08509385793,2.86448162321,2.50674485535,2.76399571416,2.26613477943
(11- 38),4.87511703629,2.59279771932,2.19564609865,2.73515107211,4.66322735267,0.328806975707
(11- 72),2.26850282887,2.80756008944,2.73573841214,3.37401030093,2.32405602987,2.38560441284
(11- 11),2.98600982453,2.75485133286,2.55748053718,2.75427826417,2.50623055537,2.79693044777
(11- 76),3.01577626518,3.75057227094,1.23927105985,3.1088132512,1.97768180829,3.32704572916
(11- 86),1.69056408743,4.91501011844,2.12773147703,2.73336562441,1.52312562094,3.38244887183
(11- 57),2.87047609011,2.93187722725,3.11628192396,2.43791115337,2.68627470673,2.27687589941
(79- 38),2.6758260788,2.40979040304,2.9757504043,2.78686751339,2.55255886842,2.82003327641
(79- 72),2.73849665393,3.06225034145,2.82288371325,2.77511556977,2.69226989565,2.22115349785
(79- 11),2.36688533466,3.35273602471,2.59871232037,2.84144254911,2.52164920681,2.89114715235
(79- 76),3.4671870977,2.58331300764,2.19232697437,2.11755589165,2.63354943148,3.62874477376
(79- 86),2.77876792164,3.00441225335,2.81243265067,2.39383837159,2.65860606124,2.73053937362
(79- 57),2.96983835811,3.51880428261,3.51966842529,2.17264121348,2.48897131698,1.77378281755
(61- 38),2.89483716176,2.60034115198,2.81758483399,2.77204051497,2.53556612817,2.72820077552
(61- 72),2.70360649908,2.86379991049,2.65976392357,2.80418922711,2.58910168179,2.71007100104
(61- 11),2.64520411583,2.59422536747,2.96819875342,2.6760022469,2.65372434174,2.6216526458
(61- 76),2.77019821108,2.74742190145,2.65760388725,2.58995087011,2.75994562647,2.89168888502
(61- 86),2.89993061412,2.71463437663,2.63062108225,2.62718465416,2.70739994416,2.87610930465
(61- 57),2.39656901104,3.27269142692,3.23301588081,2.61192292353,2.2299948041,2.62569219857
(16- 76),2.53524943548,2.66849156672,3.10364426294,2.48277534833,2.33478267298,2.87693533146
(16- 58),2.87282862194,2.91752964007,2.982728918,2.36353787947,2.34069530543,2.77598119829
(16- 66),2.8369748375,2.70765478682,2.59704466173,2.94078436306,2.64526371408,2.65153248317
(16- 37),2.85974295438,2.73935756022,2.74317812109,2.75853805264,2.77236933888,2.48921232373
(90- 76),2.79731369249,2.83125673319,2.69211527179,2.60861254082,2.68331562864,2.83207266329
(90- 58),2.8418002425,2.58287519545,2.40414709806,2.76733864359,2.9543485301,2.91690255215
(90- 66),2.9650906615,2.85276644727,2.66126815087,2.2142701522,2.86284964767,2.86583700018
(90- 37),2.86308861794,2.75542959082,2.49197430312,2.88596473552,2.85488070449,2.40054473483
(56- 79),2.666129843,2.7640890927,2.72265259241,2.67496109752,2.8155958414,2.70621619866
(11- 79),2.49153986109,2.5771981952,3.24713883085,2.88227657537,2.33314443631,2.42519114995
(100- 79),2.32281663412,2.79578416413,2.62486852739,3.29911664923,2.1849285904,2.72673433196
(109- 79),2.82560506304,2.60835631548,2.67096083167,2.71537308541,2.69978094527,2.93131688847
(79- 18),2.79436110643,2.9750687275,3.02085413799,2.36634282531,2.6434831001,2.73801847133
(79- 99),2.78804855312,2.70776705657,2.83590980853,2.81434508382,2.80150363495,2.41784123309
(79- 34),2.54121395408,2.64205726635,3.04766569221,2.45272369528,2.7968266901,2.86010116486
(18- 100),2.73996471722,2.83799173678,2.91026338494,2.42716442888,2.46598086451,3.07794085314
(18- 84),2.80238785547,2.74410986751,2.64227735443,2.71888697488,2.77683435912,2.69445163551
(18- 61),2.41426464093,3.34962028181,3.27553475107,2.44172942156,2.2698593304,2.50935651923
(18- 109),2.70515448234,2.79550094349,2.8537299872,2.5463939451,2.8935202811,2.65400019994
(99- 100),2.12219492002,3.1109577504,2.71582238031,2.79233584403,2.5882278098,3.11527155809
(99- 84),2.71664664674,2.844524191,2.79379990287,2.76787920127,2.73633103296,2.54692967358
(99- 61),3.40558945063,3.31613626315,2.09703243685,2.46778444997,2.5755552966,2.77124870617
(99- 109),2.43316279956,3.47498784488,3.62906162693,1.15043623022,2.46221912489,3.51869955035
(76- 100),3.62322591792,3.60513230192,2.46653760129,2.699882267,2.27055550943,1.75854164248
(76- 84),2.77136039637,2.7317818217,2.72844042105,2.82966790245,2.59653443747,2.73235136701
(76- 61),3.01146193383,2.35754690176,2.74439535308,2.63370619188,2.76027937026,2.65555771627
(76- 109),2.83448822256,2.35174127346,4.76792112551,2.44897147167,1.67465980274,2.11119052666
(34- 100),2.70278311904,2.94338038577,2.4763248982,2.92830467258,2.88775739535,2.3144402991
(34- 84),2.4756476577,2.05064527791,3.15286012453,2.99033081569,2.37911251577,3.04950650608
(34- 61),2.73025103244,2.82436796307,2.69242646028,2.6510267676,2.64420243169,2.80799282027
(34- 109),3.0134683581,2.48417648506,2.85065765341,2.81062299913,2.26928683308,2.94625681927
(100- 49),2.64913545749,2.94324322451,2.98309470752,2.79716153198,2.34355760598,2.67466695773
(100- 99),2.73537591398,3.17857777347,2.69378395361,2.4962654868,2.54387042723,2.87221961163
(100- 110),3.11788565157,2.87590874238,2.3912300699,2.65835723319,2.65381775696,2.77608703341
(100- 102),2.83308430616,2.88192863382,2.43197507831,3.0686130983,2.28146079586,2.781118578
(100- 65),2.01982747964,3.56370625649,2.80511113588,3.12654299793,2.55716240964,2.13349037907
(84- 49),2.52958621272,2.64873088128,2.81508067324,2.81558095506,3.02014232492,2.58474022153
(84- 99),2.62326186801,2.61675816655,2.65062484832,3.31861723767,2.57928429648,2.48078614626
(84- 110),2.75835072939,2.76172270172,2.70558935125,2.70779896224,2.85439719787,2.5912949647
(84- 102),2.6947419113,2.76541297238,2.71522180066,2.65339446918,2.84243700556,2.68875415418
(84- 65),2.80033454362,2.60654931011,2.8595694527,2.53037511702,2.71377879888,2.84663118792
(61- 49),3.37848783107,2.78012841658,2.19732749889,2.98512929268,2.60747758164,2.33811591258
(61- 99),2.70437932518,2.93062306288,2.67769156436,2.69853564824,2.68208517452,2.64942768333
(61- 110),2.77170060653,2.92026983077,2.58338318729,2.31173101973,2.95464818517,2.90205689946
(61- 102),2.8656454055,2.98306046476,3.09577882676,2.52886255976,2.17462813583,2.60983762156
(61- 65),3.03841681801,2.64975026415,2.53311214621,2.74119735922,2.909160496,2.54693667466
(109- 49),2.72726414243,2.74292805984,2.86127947703,2.74517279647,2.59581189787,2.71058746711
(109- 99),2.68033031031,2.64470839314,2.87012401703,2.65445693464,2.49930729282,2.81327284855
(109- 110),1.06506424389,3.88621969958,3.21329206499,3.35833955958,1.10650171409,3.60622064207
(109- 102),2.78768257631,2.1789313616,2.58402461752,3.21525403262,2.92488120586,2.48055077746
(109- 65),2.61005882385,3.03258624074,2.75838212576,2.85037094254,2.57063688584,2.48363303284
(49- 33),2.89929799379,2.49586707661,3.08728827761,2.69905860595,2.40544283748,2.72826059151
(49- 99),3.05476882264,2.56488213586,2.56022003245,2.59602020759,3.20482697616,2.4203159643
(49- 10),2.44371395173,2.32735065634,2.94611211918,2.59883021852,2.74734523059,3.29910586688
(49- 11),2.91401227083,2.70657969792,2.55449717393,2.38585214224,3.08206711978,2.8892203983
