patterns\K,0,1,2,3
(1- 1),10.1967467157,4.07411811332,-0.616297899343,2.47401427495
(1- 2),4.37605284195,4.89632642221,2.09625583884,2.9219203924
(1- 3),3.72238467443,3.24543019263,3.19416187635,3.79415925394
(1- 4),3.42714330981,3.57068728076,3.66058931251,3.45759556327
(1- 5),3.43145716562,3.33599671609,3.81393315043,3.52679249188
(1- 6),3.44124685345,3.6455387649,3.44118076661,3.61412757471
(1- 8),2.9935723559,2.02392270441,5.15210128654,4.0889163164
(1- 9),3.44201394,3.70154505469,3.72124552476,3.31663547373
(1- 10),3.34152679627,3.4518229213,3.96463289376,3.50705618144
(1- 11),2.61258610055,4.39414341759,4.12709180667,3.26966284322
(1- 12),4.51431757908,2.96078875344,3.5844107396,2.82859964984
(1- 14),3.39714776093,3.38003551413,3.84303069403,3.5176330102
(1- 15),3.68607072262,2.95414747942,3.55128602316,3.72771350378
(1- 16),3.17583443426,3.65448108624,3.93159735946,3.4281756805
(1- 17),3.79738915928,3.55965628772,3.27497817881,3.33508307081
(1- 18),3.41512480638,3.14499301289,3.93410139897,3.73969948795
(1- 19),3.29905219563,3.77345739541,3.49945656299,3.68140788235
(1- 20),3.28354487095,3.49718374679,3.7860917706,3.6114560369
(1- 22),3.82047066176,1.05054440276,4.75939973967,5.10660878784
(1- 24),3.60365655118,2.80758395885,3.81493491677,3.0250791714
(1- 25),4.05280924995,3.08915163054,3.43944923881,3.14825614286
(1- 26),4.13601054952,3.13351584878,3.00435521747,3.80107225891
(1- 27),4.1104803932,3.64599757132,3.56321623804,2.96234707248
(1- 28),3.55814700058,2.86636857176,3.81725898318,3.54826943885
(1- 29),3.07194529309,3.13953120631,4.05206701039,3.68032026391
(1- 30),3.2147477575,3.43182420647,3.61569975448,3.75890610599
(1- 31),3.5135721518,4.91766363076,2.56245221225,3.57882070701
(1- 32),2.99688087924,5.04361789062,3.05682572014,3.46313825776
(1- 33),3.29258579621,3.59009296823,3.61686768524,3.67719982409
(1- 34),3.53401596601,3.73336611421,3.43896811167,3.49958137368
(1- 35),3.28643784715,3.83447350247,3.67680297496,3.47119107814
(1- 36),3.56447856604,3.44218750891,3.60605745452,3.46264264457
(1- 37),4.08646860626,3.30570534102,3.28281094226,3.09228121887
(1- 38),3.35003369805,3.58457030115,3.88135067365,3.39953877276
(1- 39),3.32650084792,3.73873387509,3.55021381758,3.62557587602
(1- 40),2.57948166831,3.42172716027,4.2751397642,4.06546751694
(1- 41),3.94413657131,2.51155230824,3.62439878632,3.40898242606
(1- 42),3.26506922347,3.57141775506,3.78481543564,3.42272098985
(1- 43),3.80299253186,3.45053065893,3.8160563005,3.0430763605
(1- 44),3.47791815439,3.71414267083,3.46025302089,3.52151148377
(1- 45),3.50624140222,3.3974092614,3.79343453746,3.45165519848
(1- 46),3.69992464779,3.84372999375,3.70912053113,2.92693890175
(1- 47),3.40498295443,3.41167106083,3.7543347464,3.65567558814
(1- 48),3.73855782991,3.33103128238,3.26897209254,3.4191900582
(1- 49),3.4629565421,3.39365803547,3.64237498931,3.55183775753
(1- 50),3.98755536202,3.09987575525,3.40690490924,3.14630794926
(1- 51),3.22300177486,3.00402752198,3.32600388302,4.00838408006
(1- 52),3.7262749228,3.59295244145,3.30135196448,3.60208820135
(1- 53),3.3882078528,3.81122519773,3.4982227878,3.69798420435
(1- 54),3.08502522545,4.56022004829,4.05856561977,2.65386982913
(1- 55),3.72049204039,3.24356736174,3.34288665667,3.70167085744
(1- 56),3.37849322088,3.9627729709,3.37986886515,3.57854316876
(1- 57),3.55523734242,3.04771942315,3.61340472575,3.78398205311
(1- 58),3.65743743482,3.59677855409,3.56495764039,3.33868060389
(1- 60),3.34827419723,3.84812486733,3.66969036367,3.42798817829
(1- 61),3.41178693598,4.48313227815,3.0413599394,3.51179787118
(1- 62),3.47690870353,3.36926196311,3.69359473494,3.60121648651
(1- 63),2.49107179725,4.92503317808,3.49264801824,3.65278199491
(1- 64),2.7019630872,3.36284647466,3.69486110436,4.67523454662
(1- 65),3.88007438455,4.72461129415,2.07295910978,3.68857586529
(1- 66),3.21264649448,3.79383435238,3.68978674663,3.53279678554
(1- 67),3.43785065628,3.03784190671,3.87867447333,3.2603330362
(1- 70),3.63775488615,3.49823677746,3.18423469257,4.06313139438
(1- 71),3.59295763963,3.58567178272,3.20209259305,3.64918446815
(1- 72),3.87070397147,2.66997903764,3.69726663703,3.11389884619
(1- 73),3.48385964411,3.72872967793,3.49980996667,3.41527612316
(1- 74),3.51588192061,3.89440602485,3.47016527076,3.43765096199
(1- 75),2.96479051391,3.18202322891,4.47241961348,3.65098631622
(1- 76),3.06325264293,3.06515601616,4.32263655821,3.87195940922
(1- 77),3.32512831934,3.27390841953,3.74647429774,3.81733615408
(1- 78),3.66356050347,3.73765095994,3.04638476374,3.81073485611
(1- 79),4.6429962019,3.4369536094,2.80757010151,2.8244336463
(1- 80),3.4902153018,3.99896457266,3.28725927918,3.49220025097
(1- 81),4.60202263499,3.2839372464,3.39380136097,2.57888924174
(1- 82),3.83774034252,3.2410462272,3.53930281616,3.44712449404
(1- 83),3.28401906909,3.60503984782,3.47816399245,3.76482229635
(1- 84),3.83330772622,3.31736115907,3.44445642091,3.44172925085
(1- 85),3.6040780646,2.80379721459,3.67939367841,3.83107268299
(1- 86),3.26938570932,3.45926659968,3.76347030857,3.63330018752
(1- 87),3.5003080535,3.93252066849,3.49528253759,3.24402395117
(1- 88),3.33747480202,3.19836478641,3.79406606734,3.75576122706
(1- 89),3.10596143725,4.26896301283,3.3732512166,3.56114643058
(1- 90),3.40541590302,3.61733687,3.65410531001,3.49437075506
(1- 91),3.29038928356,3.46248714969,3.51928495993,3.74413936648
(1- 93),3.64131710909,2.92681374209,4.53309367533,3.04989867012
(1- 94),3.37756038823,3.60949812764,3.34993470003,3.73497382723
(1- 95),3.7053317453,3.2366281146,3.48423017838,3.57121361615
(1- 96),3.5592100588,3.07033421757,3.8343648812,3.71327974293
