patterns\K,0,1,2,3,4,5,6,7,8,9
(1- 1),1.96554078947,3.47826233675,5.89078971498,-0.581827495345,-2.10997483946,5.31075799423,5.81798277996,-1.02481624511,4.31790883755,0.843311450422
(1- 2),2.34571223815,1.66433125431,2.80094689939,1.9410940215,1.23800830882,1.65883334957,2.54733591543,2.04047588681,2.94270359856,1.71093415981
(1- 3),2.27729253088,2.01013324379,2.14068261496,2.09528976269,2.18975674942,1.9023178374,1.99880337567,2.15315840935,1.96933704119,1.78007420917
(1- 4),1.89500451282,1.93375163071,2.06009064666,1.88347758137,2.09431548831,2.07306793013,1.99388763877,2.243798474,2.09250908811,2.35583494281
(1- 5),2.08327580393,2.07290621923,2.23055183582,1.98414016654,2.14459406497,2.0224819068,1.94031606578,2.08242658908,2.00429029844,2.06202143175
(1- 6),2.08544195102,1.90443496809,2.27810819243,2.11761463458,1.84754602012,1.9906077787,1.98871489076,2.19038956813,2.14476043774,2.11055658615
(1- 8),1.46449690793,3.23403118084,2.0798931057,3.77229336649,2.18946362868,3.07057209789,1.61847456861,0.51140221295,2.04505212484,0.376342806849
(1- 9),2.0603135717,2.00857730633,2.07969951219,1.98162677935,2.15251775786,2.12769501182,2.21069376013,2.08458719116,1.87007100252,2.10662839196
(1- 10),2.77996180979,2.58194448253,2.07001738043,0.979787161243,3.03861535597,1.64247224695,2.44864906564,2.50041360632,1.34210667692,1.46342060607
(1- 11),1.9614997751,2.5368844758,1.53994492718,1.63733236976,2.19388982953,2.05851638487,1.79975242826,2.17199639812,2.43814955614,2.3344429165
(1- 12),1.63312468335,2.09515114101,2.28003887209,1.81228240153,2.16913989214,2.30688220063,2.05223182122,2.28360112686,1.71627131927,2.30298238419
(1- 14),2.0938510576,1.91057906947,2.15383338952,2.11497287763,1.98631946204,2.21371927177,2.07987183305,1.92896435989,2.09373767747,2.08621693228
(1- 15),1.79427697214,2.32334224512,2.44705394441,2.30383633222,1.84882713624,1.9031873996,2.24452068158,2.25766584935,2.08293064564,1.19607973834
(1- 16),1.98160048316,2.20725982699,2.1285871676,1.89964661427,1.99460421116,2.18693519086,1.97862465415,2.13170882059,2.08962551004,1.99948307717
(1- 17),1.83743901265,1.99422239953,2.1508964652,1.84324071013,2.25034282793,2.1810446444,2.1898036462,2.27222529263,1.62619210971,2.29205341129
(1- 18),1.81017019121,1.68760546825,1.59128517483,1.93455112092,2.56060087124,2.7086886122,1.83886956896,0.87254205819,2.83497556401,2.88870467864
(1- 19),2.156522241,2.10779005133,2.08824842613,2.08595033547,2.04442301888,2.1218789004,2.11195574641,1.981812515,2.10959655881,1.86717347525
(1- 20),1.83922292277,2.02932141514,1.92015385156,2.76528895257,2.06770323911,1.60226073007,1.95126643512,2.3236858675,1.96527884208,1.92537827231
(1- 22),5.14166856267,2.6649766194,2.78846450925,3.84890191025,-1.11398613884,2.68746615685,0.478611744795,0.827291055637,1.86829986255,3.02348086461
(1- 24),1.85645993327,2.13200212601,1.82625113205,1.859841088,2.5863663654,1.95517631714,2.37958262461,2.24284320929,1.69073126477,1.83248788037
(1- 25),2.02986622691,2.1847603175,1.99967030041,2.38255038478,1.92315255593,1.90306016737,2.04696247463,2.13114130273,1.73367383925,2.16050889839
(1- 26),1.66732241964,2.5981027945,2.6892644123,0.460939009932,2.79949123097,2.66247149545,2.26137085462,2.20852167357,2.03979005406,1.14115348078
(1- 27),3.46154430379,1.37617006971,0.143872471641,1.88951415443,2.69963189558,3.25418710349,2.14238961702,2.63098688344,1.36249029245,1.87672925527
(1- 28),1.92359449599,2.11221296806,2.41778656657,1.84720561079,1.91462370839,1.7242363046,1.88866657981,1.89215107626,2.6510299785,2.21835072484
(1- 29),1.64586182975,2.19778169699,2.46022370652,2.02700512702,2.26296325621,2.14213376699,1.63785759901,2.05931545177,1.83936880351,2.13409367915
(1- 30),2.41216724044,2.0480035028,2.08136132994,1.90722610569,2.20985419457,1.92583307846,1.83655799855,1.75977714625,2.56581641327,1.89808277753
(1- 31),1.8870569311,1.50214467529,3.64664102804,1.85318222589,1.94401053691,3.33499000352,1.20547408234,2.32088071676,0.863023377009,2.64772529457
(1- 32),2.60341439325,2.21404782361,2.68610505537,1.13661062862,1.32679167053,1.21976935079,3.39537941769,3.33164253542,1.84743587734,1.39700719199
(1- 33),1.92625922007,2.06699382721,2.23618767331,1.91058853549,2.06944863422,2.17096166476,1.91400171476,2.05795064669,2.15617029439,2.18827399293
(1- 34),2.14775955711,2.58338034858,2.55257253527,2.05961806256,2.34366480734,0.81879028083,1.21775390257,2.70011810302,1.73677580568,2.43793508376
(1- 35),2.08684611901,2.04148521769,2.19188881857,1.98769436336,1.79818038091,1.97825359537,2.3169635671,2.06306126015,2.17957573046,2.06120712597
(1- 36),2.07583901122,2.09375416605,1.98102226131,2.04758620439,2.13050733903,1.98522596038,1.85572357607,2.1600887453,2.1506135474,2.14172835848
(1- 37),2.49191864102,2.17058972362,1.75355313181,2.17238869961,1.94785348167,2.22869836816,1.55276971327,2.05053167882,1.92398725809,2.0024817139
(1- 38),2.02329839559,1.8463751648,2.23893364832,1.99163699257,2.08739891028,2.21301667549,2.32268083747,2.02379801551,1.94803876979,2.01991677086
(1- 39),2.28620950262,2.09306612224,2.28231822712,2.15003620905,1.98291923364,1.9496500481,2.03460814379,1.96336032646,1.94189264885,2.0132997927
(1- 40),1.75864672421,2.10393881556,1.64853407923,2.09378187954,1.70711839549,2.2773721747,2.2520331163,2.01005484979,2.93073821017,2.40185181823
(1- 41),2.07829794249,2.18655925706,1.86736984547,2.13576692744,2.21460571269,2.11483254571,2.15927480794,1.99107233901,1.67592139876,1.94125181889
