patterns\K,0,1,2,3,4,5,6,7,8
(1- 1),2.47262588617,8.77428248876,-3.37681538483,5.68082303965,-1.2131374008,1.65684637848,5.94861580723,2.9940426754,2.43795202065
(1- 2),2.59858418106,2.35574412881,1.63246947108,3.13492634445,1.82572071464,3.00902673225,2.24834642641,2.50403843571,2.5447265569
(1- 3),2.66102207524,2.22168985777,2.10103499247,2.34957058942,2.51693872433,1.80230441178,2.47365536772,2.21406490873,2.40784498389
(1- 4),2.5486210234,2.78458390608,2.2750055163,2.48837704439,2.18395917533,2.32860818061,2.44814048099,2.0678428696,2.00507226325
(1- 5),2.85742224017,2.2664345895,2.03317495796,2.45023413474,2.35952154955,2.13775618456,2.19593569635,2.20801196559,2.59577060984
(1- 6),2.58080156648,2.45508119321,2.2746089024,2.39640287487,2.37302660776,2.34243069041,1.9745350833,2.39799559503,2.19108811251
(1- 8),1.89111856669,3.24175517843,2.76086048884,0.619197903725,2.47170385106,2.79826705798,1.75525744102,2.80603933949,3.05508852121
(1- 9),2.65646058346,2.11427927664,2.20494208091,2.4837080211,2.42000888534,2.34006414455,2.36532801215,2.15191196008,2.31998891951
(1- 10),1.87424211805,2.1847905245,2.2509609578,1.59978890511,2.4597115895,2.71095598002,2.85820521425,2.7386483855,2.40734035709
(1- 11),2.89417369391,2.13735609631,2.81979532761,2.49018650199,1.9719633749,2.81427588204,1.42331126093,2.17521874276,2.31369864019
(1- 12),2.79722840825,2.55801808753,2.22021031793,2.41856798902,2.2585500664,2.00380966042,1.85795402318,2.33995173554,2.55278638779
(1- 14),2.18398606351,2.3377924884,2.74344371695,2.06972259992,2.61135901171,2.35255362076,2.00316456403,1.96906109834,2.53208993474
(1- 15),2.43653836086,2.53169506962,2.341808971,2.68167868783,2.50390141698,2.0217293828,2.0051112985,1.98640168913,2.4021485961
(1- 16),2.26212872718,1.94792457349,2.20253631982,2.72445647041,2.54132405149,2.4952483215,1.93900985894,2.42325309724,2.46769294274
(1- 17),2.26542857086,2.68253270687,2.58833755822,2.06423174184,2.57331745555,2.29011091418,2.05549799963,1.67879521852,2.48327331792
(1- 18),2.04316725841,2.41434468574,1.9450262703,1.79296779328,2.38259780921,2.80867492861,2.88886116546,2.27398119889,2.81012817761
(1- 19),2.33136601406,2.43535826954,2.24035327452,2.29920712273,2.36389505701,2.08051811745,2.41175610369,2.7729741125,2.05897547465
(1- 20),2.36764372237,2.16479537084,2.1369444749,2.14889344165,2.34598998512,1.91211431658,2.78986790616,2.12988356112,2.79188555865
(1- 22),1.13276883293,4.41993602341,0.492278451652,1.94404900961,4.10083422222,3.94010564305,2.85404738239,2.63403429536,1.47512277705
(1- 24),2.60661549186,1.94510636536,2.88107449467,1.70705248884,2.37206037136,1.79769367216,1.51152901962,1.46298080932,2.87279080374
(1- 25),2.27940947433,2.36333595748,2.3169084587,2.40586836718,2.34072878791,2.35557475687,2.38770011502,2.2573076558,2.1695852237
(1- 26),2.69294010944,2.61302272806,1.20953489399,2.75346895979,2.82439126416,2.84790255996,2.80617549558,1.43396640332,2.43587897024
(1- 27),3.4668150206,2.44097428556,3.34032121962,1.35572726827,1.85329051841,2.05105491669,2.08837268484,2.58389018569,1.62827371937
(1- 28),1.81162179876,2.44336558666,2.70579701246,2.39512456426,2.24599674132,2.54635033133,2.25661611599,2.44721212938,2.0059063303
(1- 29),2.15095834399,2.27764581673,2.08885383438,2.04978523517,2.67570910448,2.00809419893,2.34455242516,2.70188329488,2.19563452542
(1- 30),2.40132678663,2.43797240336,2.26847159453,2.326789785,2.16695908274,1.75154891574,2.64605769535,2.63764848808,2.20268339369
(1- 31),3.49850762005,2.88504020422,3.43283245472,1.1254797553,2.74593564397,2.08291491819,2.81311625281,0.803664836951,2.18000767176
(1- 32),1.84491054806,1.92548616,1.6170259867,2.64334980868,3.01723846719,2.7672080274,3.77250843175,1.55087716196,2.62550780605
(1- 33),2.33435829386,2.3875016909,2.26680676201,2.18708482722,2.25887054413,2.43680243519,2.17033533072,2.4657981804,2.53834030216
(1- 34),2.37034199599,2.57008481819,2.12198313147,2.3042316667,2.53273025735,2.39025172966,2.53034966014,2.15665450943,2.18201476024
(1- 35),2.32819631246,2.3487614405,2.14865507097,2.61039332121,1.81613591197,2.34414244454,2.49222775976,2.49547895623,2.53820971651
(1- 36),2.11673068521,2.49435650016,2.24807956626,2.56017959332,2.28019735973,2.59953060085,2.35477487403,2.28069305217,2.16305522894
(1- 37),2.24261768047,2.27936690284,2.60000863275,1.99749012659,2.13335103294,2.14310350396,2.21322908004,2.27049389685,2.65371891906
(1- 38),2.22087013775,2.73484411441,2.2690427986,2.86522025655,2.33264688164,2.12309730173,2.23336618517,2.26380139646,1.97413048298
(1- 39),2.69044673791,1.98331275424,2.43677763911,2.70816670196,2.29985705367,2.04908745046,2.27766744521,2.1643748409,2.34234879881
(1- 40),1.95402003182,3.01010592465,1.48814302429,2.27479973204,2.3794252246,2.6776415755,2.20823649164,3.35253749413,2.45206313249
(1- 41),2.42025745698,1.8973532714,2.39032483208,2.63931621625,2.65485585558,2.23820888426,2.10566342534,2.12555338474,2.03317082793
(1- 42),2.32747285886,2.05511362677,2.09473137325,2.04868537751,2.81247667011,2.39676745763,2.39994353619,2.48637110006,1.99043937203
(1- 43),2.75544820214,2.35537507884,1.67940444729,2.13831914251,2.59789385972,2.7672174516,2.48212835361,2.09052428039,2.28581066413
(1- 44),2.58840458348,2.1830798611,2.04146948455,2.34443153832,2.25497044965,2.40113396912,2.47108209635,2.47325605534,2.31987990613
(1- 45),2.52656939126,2.24744289888,2.11221555903,2.53862961286,2.08651310305,2.88488964109,2.07905556378,2.45841259067,2.30192566645
(1- 46),2.6702249873,2.47130013363,1.85216624857,2.16169246945,2.62619354435,2.54092652901,2.09844485606,2.60166718067,2.18824951417
(1- 47),2.15075713529,2.63562091195,2.42111426198,2.41816218021,2.91689060364,1.77125330971,2.6551929975,2.04860399518,1.87781983613
(1- 48),2.74227567227,2.17122821931,2.44402841803,2.35631824087,2.5730982372,1.83330499451,2.14233233851,2.11970676869,2.21770191559
(1- 49),2.67568034269,2.54580284371,2.11945187985,2.37480411951,2.27849469629,2.10055211382,2.22623547037,2.26327267919,2.48330086968
(1- 50),2.43829048305,2.25419817825,2.88257878922,2.08676534132,2.07712758643,2.23806151782,2.26289056194,1.82545729261,2.1358176127
(1- 51),1.67370282103,2.197221704,2.57813084271,2.36365490564,2.24480624178,1.09514752443,2.9520438237,2.11971699252,2.09525286711
