patterns\K,0,1,2,3
(1- 1),5.36997504273,9.73648568327,-2.6591352336,4.24441531497
(1- 2),4.35461304982,3.33576606779,3.60243375724,3.05977492302
(1- 3),3.56621962639,3.3714322205,3.87609922504,3.17679702925
(1- 4),3.551980546,3.55145207538,3.63806696664,3.43590830127
(1- 5),3.50978222477,3.53074373236,3.557223942,3.63548575211
(1- 6),3.46175858399,3.86797993703,3.41063250583,3.5080537748
(1- 8),4.995234594,2.99890831506,3.98613649458,2.14401235055
(1- 9),3.43275671229,3.78121413306,3.30891474524,3.76170846793
(1- 10),4.24838701159,3.14445029346,3.61345355026,3.22862560319
(1- 11),3.63591596586,3.79508451406,3.98244093849,2.72320371262
(1- 12),4.09044238317,3.73956162987,2.89139828976,3.59389631281
(1- 14),3.588628292,3.53112805868,3.63337239142,3.42098597933
(1- 15),3.51272132073,3.59510262407,3.39228762259,3.75709627927
(1- 16),3.66666978663,3.42451242907,3.47438185105,3.68818526634
(1- 17),3.98338143333,3.53798210721,3.3215995668,3.20861487118
(1- 18),3.73356017356,2.73107448764,4.16001994583,3.64059442409
(1- 19),3.4329196079,3.76877608284,3.58041529188,3.46424195384
(1- 20),4.01877756396,2.98374644202,3.4016647043,3.70041817569
(1- 22),3.01018342888,2.27172267586,3.62259026646,6.03621396539
(1- 24),3.24166672013,2.67812132281,4.31732258728,3.229512705
(1- 25),3.14254344017,3.66931647794,3.55535412999,3.80636688134
(1- 26),4.60601683964,5.09470567358,2.92353426011,1.76772224002
(1- 27),3.17726771577,4.64814394606,4.57356311677,1.81110476569
(1- 28),3.50516401404,3.48794772689,3.40833925592,3.88756043679
(1- 29),3.12376189484,3.64103401268,3.7076857582,3.59048848798
(1- 30),3.39826881073,3.57169536599,3.56971140982,3.65260655094
(1- 31),2.53602340383,4.16016708172,3.14536296336,4.62889576829
(1- 32),3.36476017882,3.96741710408,3.48510634169,3.64351837661
(1- 33),3.45528437542,3.55270921632,3.52954288225,3.74460791497
(1- 34),3.51932989987,3.4254078237,3.43276189501,3.96105426202
(1- 35),3.48227327438,3.46375375654,3.57785017018,3.71486591201
(1- 36),3.41585731273,3.68542634131,3.44066958483,3.70707965643
(1- 37),3.54268647995,3.65625092687,3.53200704115,3.38659029923
(1- 38),2.95512815021,3.81480725895,3.49932707531,4.03883838614
(1- 39),3.61294610865,3.47208816626,3.33892536367,3.8711634734
(1- 40),4.01371963746,4.10862495382,2.91249052691,3.33840817482
(1- 41),3.39249688949,3.36419973486,3.76932070542,3.39295262003
(1- 42),3.664306141,3.57249988937,3.71987249622,3.06329248627
(1- 43),3.72193945876,3.76795710149,3.28391921666,3.49187830156
(1- 44),3.60941976157,3.73843292232,3.36936123725,3.55727842706
(1- 45),3.46405323125,3.74720093094,3.4785417275,3.59181496423
(1- 46),3.36500155285,3.81813854583,3.38998165107,3.78300870024
(1- 47),3.73762619847,3.73203413877,2.90972762997,3.83386865142
(1- 48),3.98069332197,3.2510893716,3.47999848174,3.27191148058
(1- 49),3.63674014683,3.42799998587,3.5643466629,3.53323425843
(1- 50),3.42896121986,3.13248747892,3.67275872133,3.6101683666
(1- 51),2.99499354073,3.26148465092,4.15782639092,3.29762744108
(1- 52),3.28158557534,3.93673699358,3.06756135591,4.15500380407
(1- 53),3.94632285198,4.07060924668,3.71570129091,2.57766742352
(1- 54),3.9227633498,3.30622914112,4.05029287222,2.83406779843
(1- 55),3.4471388634,3.53052917687,3.40682722357,3.919876803
(1- 56),3.07560087285,3.84673012637,4.03930201866,3.35142312121
(1- 57),3.48235487899,3.65644824498,3.37870077288,3.77077547829
(1- 58),3.49952700746,3.3696251291,3.54234352973,3.90304629898
(1- 60),3.41789780514,3.6734237476,3.54190637514,3.67326173501
(1- 61),3.02150477707,3.69639163599,3.96942253248,3.70922672315
(1- 62),3.49648186938,3.62629678737,3.5467611403,3.60926914127
(1- 63),3.96325520936,3.70416739295,3.19776394292,3.52611996371
