patterns\K,0,1,2,3,4,5,6,7
(1- 1),4.03479745719,4.66899471944,6.59313680024,0.0458217621052,0.936096604629,0.0250595142833,-2.82408870442,9.59484669726
(1- 2),2.35679847073,2.90926796621,2.8695143971,2.16119550195,2.3812810811,2.93688299773,1.9234205707,3.26670133557
(1- 3),2.7049691379,2.95603908578,2.05468246572,2.83429302036,2.57347453956,2.33003034015,2.10629921553,1.98938927362
(1- 4),2.45399058893,2.51239654301,2.04014586069,2.44660297088,2.32305941206,2.6706240669,2.83132152358,2.42381324404
(1- 5),2.50288859064,2.4825161874,2.68094170911,2.36466213907,2.59380835643,2.33270144954,2.38265903435,2.51935373656
(1- 6),2.91455392051,2.7616401249,2.73965027131,2.49869348717,2.41326626223,2.13776267482,2.19526929499,2.15191605323
(1- 8),2.47064636567,2.9915172414,4.16355502096,1.6751281395,2.22233199227,2.54911177766,2.83255599306,1.24489159252
(1- 9),2.37554736705,2.56687541446,2.34614511263,2.52614473436,2.39135686759,2.99997008397,2.74179567133,1.94336107496
(1- 10),1.93906676073,2.15971020816,2.49507446366,2.92420022702,2.23611278388,2.63940307287,2.561990633,2.95175702824
(1- 11),2.18326677264,2.02172109744,2.60487001829,2.40982996091,2.80691371631,2.5781363734,2.44965876634,2.77013992715
(1- 12),2.11110298928,2.5695703474,2.88823133666,2.69445942879,1.62591969766,2.75480586778,2.42802474781,2.72380769665
(1- 14),2.87165302428,2.45809269246,2.16639566937,2.11443460111,2.28432284972,2.31063028308,2.83680964192,2.63788526245
(1- 15),2.78416979767,2.33432869664,2.89901360657,2.6553435007,2.25887465492,2.01864472638,2.29519087908,2.38293280651
(1- 16),2.25296073033,2.36595451284,2.68549640999,2.60770683822,2.77527113397,2.39220202063,2.17177214923,2.58548442781
(1- 17),2.66796796353,2.50509707827,2.73760764346,2.36702762068,2.3242654505,2.48476286997,1.99015535744,2.48401581774
(1- 18),2.94439716517,1.66234263057,2.99351840949,2.97656042469,2.18395701745,2.97722331195,2.09790941084,2.35546743019
(1- 19),2.55590051704,2.70560453878,2.71151532531,2.50754280251,2.26443525923,2.39962912186,2.40519966137,2.33893291014
(1- 20),1.97217404251,2.08646660491,2.76054096254,2.46039789844,2.94665227724,2.14208386287,2.54190070582,2.57634734071
(1- 22),3.02249395617,2.92926341031,0.406773035006,3.8107563953,-1.14466496646,5.06251347085,2.42793232287,5.15997930262
(1- 24),1.91559509688,2.46524962178,3.44848884262,1.76944071708,1.93693118995,1.83849959103,2.44447777828,1.78786594982
(1- 25),2.41384286696,1.83461282923,2.75853645759,2.58952371977,2.47368780485,1.95735739015,2.83718042537,2.59081874391
(1- 26),2.56891457407,2.66270189581,2.32340437737,2.56960087274,3.14747690368,1.69702722099,1.88817976719,3.05298145931
(1- 27),2.86902973385,2.66105508123,2.72421131286,2.5075563894,1.79625556629,2.58093286999,2.39385335158,2.50841265613
(1- 28),2.22891464046,2.41920304801,2.43089102224,2.18872397271,2.65341803814,2.54027233325,2.50570053325,2.69574793375
(1- 29),2.69664096274,2.0530101361,2.87053384818,2.44796441623,2.19120729949,2.16594250917,2.33878204605,2.74304295655
(1- 30),2.50897913915,2.44264041454,2.53098241386,2.2310250095,2.2264969678,2.80425301369,2.41511077284,2.63589129065
(1- 31),1.95000169912,1.74818624534,3.48850257843,4.98037528961,2.2067245513,1.93898868126,3.13258127908,1.27485802552
(1- 32),1.59179577841,3.63068040546,2.58407371759,3.85640819937,2.46786970428,1.79622833707,2.61806057556,1.75251892224
(1- 33),2.48513857157,2.83744483034,2.71564734498,2.24177395345,2.51413987178,2.35624887953,2.28356393792,2.37936719619
(1- 34),2.63058404495,2.7680520718,2.5756491839,2.3147247716,2.34973255274,2.64184966357,1.99503249254,2.66602931366
(1- 35),2.74417235155,2.55629089141,2.67004503475,2.49246351979,2.47837561349,2.9093486748,2.10213469586,2.04469445962
(1- 36),2.60864600994,2.35123108621,2.46418605677,2.59919539072,2.44487055434,2.73756745869,2.38678176047,2.33076924609
