patterns\K,0,1,2
(1- 1),8.69520713536,-1.59793630539,7.58478893756
(1- 2),5.04134345119,3.50556049925,4.2407518178
(1- 3),3.56805759139,4.67361061388,4.00515967242
(1- 4),4.3672452676,4.03575198966,4.02756266748
(1- 5),4.31126636655,4.25880217186,3.90056367627
(1- 6),4.22988136735,4.13482799001,4.05950527377
(1- 8),2.7437836185,4.98350559049,4.72371045789
(1- 9),3.92684289635,4.598347874,3.86648577306
(1- 10),3.97636354489,4.14397014905,4.40759116026
(1- 11),4.81218488408,3.19659206474,4.42052022781
(1- 12),4.93519447029,3.66080002318,3.82355137596
(1- 14),4.05341249823,4.50119890054,3.89876227781
(1- 15),3.7806978096,3.99423351747,4.58037802305
(1- 16),4.3331629458,3.88640188327,4.26431394535
(1- 17),4.29628555416,3.76600707326,4.23566091854
(1- 18),4.08039078587,4.33350542516,4.1126070727
(1- 19),4.25077354754,4.22274544815,4.02332016515
(1- 20),4.39868585726,3.96415214226,4.09691232505
(1- 22),6.92330430808,5.45862494503,1.00263827039
(1- 24),2.97761293215,4.23763211036,4.15049385639
(1- 25),4.21927061794,3.8811788928,4.24717790142
(1- 26),4.20334540017,3.52573311978,4.84134309352
(1- 27),4.65566483957,3.64959937396,4.27218905203
(1- 28),4.18743737062,4.13340712022,4.11539293415
(1- 29),3.7914872325,4.12381881742,4.42784658609
(1- 30),4.00583711841,4.30456423373,4.11490692015
(1- 31),3.45477841311,5.42845917094,3.81063028757
(1- 32),3.8089130415,4.87973054226,3.99463589401
(1- 33),4.00443074009,4.49667312341,3.92921144421
(1- 34),4.73457902105,3.95011764316,3.8468209239
(1- 35),4.23903580525,3.84714488241,4.39763052331
(1- 36),4.3086121878,4.27710285421,3.87227275171
(1- 37),4.01305951491,3.86405009801,4.30597444455
(1- 38),4.3488206502,4.29782005503,3.85852929203
(1- 39),4.14745198394,4.10378776472,4.20482067119
(1- 40),3.82977294382,5.03832837309,3.91867857258
(1- 41),3.88939636136,4.13468358713,4.15013480654
(1- 42),3.97643850521,4.21709057009,4.14488539669
(1- 43),4.21133980396,3.85256911615,4.45439060834
(1- 44),4.2027766804,4.26726356852,3.9794917755
(1- 45),4.52563740517,4.06278718728,3.91093762473
(1- 46),4.42224283316,4.04924043278,4.05535019216
(1- 47),4.66408609426,3.86436373573,3.90343473116
(1- 48),4.00707094214,4.47532469469,3.59290657376
(1- 49),4.08370250028,4.33991519716,3.97889038434
(1- 50),4.11999096915,4.11945382821,3.95983859686
(1- 51),3.27577910172,4.64792640796,3.45984216286
(1- 52),4.03798839961,4.62125534156,3.89391951809
(1- 53),3.70694860794,4.73083839385,4.10541300412
(1- 54),4.94147693815,3.07932545522,4.38863994382
(1- 55),3.94330985464,4.44805910899,4.05922578868
(1- 56),4.22293368532,4.17710009983,4.18405693062
(1- 57),3.85896340512,3.97949026331,4.57391215533
(1- 58),4.29677443524,4.35363381634,3.80782567113
(1- 60),4.20958156618,4.50618863255,3.78108183462
(1- 61),4.97482686721,4.24658275073,3.40831168727
(1- 62),4.23352545967,3.96853097529,4.29215681466
(1- 63),3.42986569207,5.32240370843,3.81385169384
(1- 64),2.01609896348,3.8986740149,6.6243954423
(1- 65),4.8425336292,3.2893952409,4.55061152043
(1- 66),4.00746047637,4.10587760944,4.35672007755
(1- 67),3.823096691,4.50748134795,3.61390375958
(1- 70),4.04627451742,4.2112319351,4.32420390992
(1- 71),4.32081813757,3.87984765874,4.19736200794
