patterns\K,0,1,2
(1- 1),8.63713912095,-1.55914693407,6.44618052052
(1- 2),4.31295483993,4.25705963788,3.62129937847
(1- 3),3.74419768701,4.00827552677,4.24507749049
(1- 4),4.20753077914,4.09534440175,3.78165283672
(1- 5),4.10698335892,4.06884538595,3.92854186795
(1- 6),4.11177982474,4.08142928479,3.91297013898
(1- 8),3.14390810304,5.13560113414,3.88889205235
(1- 9),4.15247682171,3.95834862349,3.99883162526
(1- 10),3.60787475905,4.430503166,4.05242672967
(1- 11),4.13033166882,3.64946157505,4.27387231694
(1- 12),3.6754222288,4.00230246064,4.34551423892
(1- 14),3.97551975723,4.05931861816,4.05061045732
(1- 15),4.25136806241,4.0480155016,3.8093949216
(1- 16),4.26398410575,3.76421357052,4.09552929959
(1- 17),3.3619466522,4.35818065025,4.17893415145
(1- 18),3.64729201386,3.71364058199,4.69401810353
(1- 19),3.99577608259,4.03580024636,4.07245250798
(1- 20),3.92423892301,4.07479085808,4.09098153535
(1- 22),6.24939740824,0.27516925946,6.06933661908
(1- 24),3.79160951338,3.50007576486,4.47763358969
(1- 25),3.84061624145,4.26826656754,3.90656354912
(1- 26),4.5478088778,2.23454300647,5.41118275915
(1- 27),4.4272886821,5.74958410145,2.13163193763
(1- 28),3.83087684278,3.87522319308,4.3613332693
(1- 29),4.12101692166,3.77662766055,4.16071780153
(1- 30),4.01431089223,4.0875647727,3.94609104518
(1- 31),4.07989076874,4.7282595526,3.36446006268
(1- 32),4.61765854238,4.18403182348,3.48151769003
(1- 33),3.98096519013,4.19044400959,3.91431817278
(1- 34),4.4922364146,3.31197811053,4.30593990937
(1- 35),4.14093979036,4.12087300061,3.84770584331
(1- 36),4.0297910651,3.9338970661,4.10834623676
(1- 37),3.38397261523,4.28344585339,4.21516710261
(1- 38),4.1536842573,3.84341436997,4.12603933074
(1- 39),3.95151782102,3.99785516847,4.13730546038
(1- 40),4.28324199326,4.33655851428,3.60828416143
(1- 41),3.8015072838,4.16991223682,3.96536748995
(1- 42),3.7673214358,3.96622313029,4.2757420076
(1- 43),4.06280582471,4.18032812331,3.87450998548
(1- 44),3.98771715802,4.03064932882,4.06886711552
(1- 45),4.004365593,4.06905000073,4.03903612489
(1- 46),4.37532381605,3.72432621089,4.06198616119
(1- 47),4.25458166062,3.88759285527,3.98263331258
(1- 48),3.61032788996,4.04250050914,4.2286455802
(1- 49),4.01781736306,4.05006375258,3.99291712914
(1- 50),3.73420000611,3.91316587483,4.14748917381
(1- 51),3.48937897972,4.81312053175,3.69602191491
(1- 52),4.37506537063,3.75666479753,4.03516441971
(1- 53),4.25616557645,4.00447860125,3.94837925504
(1- 54),3.95348104972,3.69023724677,4.45023681903
(1- 55),4.06176961349,4.25219446258,3.80652379568
(1- 56),4.06292252466,3.98020421271,4.05438104883
(1- 57),3.92020637922,4.23769727012,3.92484014425
(1- 58),4.34434254646,3.78203371549,4.00087963591
(1- 60),4.18697024955,4.13768264745,3.84036203661
(1- 61),4.82244207333,4.05510452987,3.40701454454
(1- 62),4.12711138519,3.97576341546,4.02254261417
(1- 63),4.6893570337,3.43776496482,4.08362201208
(1- 64),4.57226906746,3.7916638694,3.90048264395
(1- 65),4.12857327598,4.18772052377,3.87611807731
(1- 66),3.85840097471,4.07764459171,4.15757591149
(1- 67),4.29488352001,4.16894691073,3.56247284136
(1- 70),4.03660394231,3.9172024456,4.21907589212
(1- 71),3.49462657937,4.45265986302,4.00442257623
(1- 72),3.91494117312,4.44336648229,3.71770777178
(1- 73),4.12364128884,4.04499509346,3.92402021033
(1- 74),4.27780204444,4.10456853463,3.82728394205
(1- 75),4.3576122688,4.4832525589,3.39650548116
(1- 76),3.74307397534,4.2085503985,4.19022250868
(1- 77),3.85346648216,4.08924246003,4.17963143129
(1- 78),3.85622575374,4.12888167126,4.05076141097
(1- 79),4.13694093751,3.52707209615,4.35386985666
(1- 80),4.07323122908,3.98324113461,4.07650315194
(1- 81),4.09329178892,3.51869546235,4.48540727406
(1- 82),4.10593569959,4.16355092872,3.83211060664
(1- 83),3.9993740457,4.09297362346,3.97330789283
(1- 84),3.94119343818,4.14345516247,3.9745021802
(1- 85),3.95597089011,4.47950740111,3.60249004911
(1- 86),3.68572519433,4.31424420817,4.0191071647
(1- 87),4.17828364601,4.15612985099,3.7837430185
(1- 88),3.97882506843,3.80689139454,4.30166536162
(1- 89),3.72736385513,4.56510307092,3.78566681817
(1- 90),3.93427935929,4.14110196346,3.99963415766
(1- 91),4.07787643639,3.81877451881,4.09463796359
(1- 93),4.25532192673,4.97441633242,3.06335601503
(1- 94),3.39329048391,4.73797192662,3.75802253717
(1- 95),4.04189158071,3.90070653701,4.14044124335
(1- 96),3.98711345791,4.02160906678,4.07203042825
(1- 97),3.80633271997,3.76829931082,4.40289081997
(1- 98),4.32779772752,3.41502640917,4.32430482127
(1- 99),4.26262494322,3.9522575257,3.95941747235
(1- 100),4.20220092666,3.87892419208,4.00211032216
(1- 101),4.10634392985,4.05436272453,3.98164202124
(1- 102),4.01449484024,4.2163325531,3.85958473063
(1- 103),3.94123291828,3.93514593143,4.1936911417
(1- 104),3.48606053218,4.35576058568,4.13041142828
(1- 105),4.26865330915,3.78107313759,4.07888135333
(1- 106),4.17824368168,4.38055177472,3.18920271872
(1- 107),3.84082981333,4.22120309177,4.00762626179
(1- 108),4.22998891782,3.28776409538,4.45604433178
(1- 109),4.16800631163,3.85016231143,4.12958442942
