patterns\K,0,1,2,3,4,5
(99- 38),-0.823585429611,-2.03540964712,7.42594683895,9.15646689796,2.99331805414,4.53742295513
(99- 72),1.98653701305,2.98167232218,2.96908719503,3.25598385307,3.14226166206,3.67075320183
(99- 11),3.15902849217,2.44628816605,2.6647694767,2.98004045166,2.7117129825,3.23874445545
(99- 76),2.88832257528,2.78147494109,2.67103275196,2.47646574958,3.35830247154,2.91674974722
(99- 86),2.99748409496,2.69050978416,2.76661004949,2.97538927015,2.89942658666,2.95887508635
(99- 57),2.89020351867,3.01886268132,2.57346512185,2.93518273,2.82540072777,3.04860430615
(72- 38),3.2796593906,3.13519646464,2.85068449603,2.63540411239,2.63985473819,3.06658374785
(72- 72),2.67618203146,3.06311747796,2.6897999557,2.86486781452,2.67497548891,3.33840477652
(72- 11),3.09216471648,2.96573570414,2.70206958036,2.79631405127,3.26958046162,2.40474043976
(72- 76),2.81374818272,2.82116851149,2.80831776227,2.32013436532,3.71250276479,2.69710876531
(72- 86),2.33118060131,2.82581558797,3.07042774055,3.07465796904,2.81906788936,3.20788956819
(72- 57),2.96699735562,2.93772546783,2.92899412307,2.63740774917,2.88148396353,2.68631420216
(105- 38),2.95357161457,2.68962079585,2.91727694377,3.11308628949,3.0085864828,2.58611207059
(105- 72),2.86586116537,3.0959624666,2.59219954427,3.26155874335,2.85390826879,2.69423502927
(105- 11),1.98495254999,3.30394854514,3.00419546305,2.97815936803,2.72592933162,2.96613150542
(105- 76),2.48341066006,2.38028887463,3.08482043008,3.24889351076,3.73814378249,2.64798417535
(105- 86),2.97696573237,2.96706468966,2.45647972801,2.86435323682,3.01261069854,3.0587003047
(105- 57),2.9894476001,2.88467134664,3.04556230149,2.53605273393,3.12630331113,2.31216587917
(11- 38),0.104194272613,1.95725677937,3.02743670223,3.31867407002,3.81990748505,6.98138407949
(11- 72),2.68887588065,2.39636041168,3.75100587928,2.19260738459,2.41004380267,2.30955439992
(11- 11),2.71881048894,2.92396655275,2.81232763636,2.54918418322,3.3566404832,2.51362267672
(11- 76),3.07959382127,1.66276281665,4.08151539792,3.52811070805,2.57716649247,2.17707808058
(11- 86),3.18491087969,3.26607590354,2.60809563067,2.23061470256,3.60016307259,2.41053729799
(11- 57),2.99430906435,3.21069169481,2.94097866004,2.11385341899,2.7568845541,2.79738216985
(79- 38),3.1215990428,2.88652552377,2.68219217117,2.0531689564,3.16201641773,3.00091280716
(79- 72),2.78393141483,2.82331573751,2.98033634082,2.63158122455,3.02207993467,2.76558498031
(79- 11),2.24352278363,2.03371654764,2.96827112346,3.97485104458,3.35378752728,3.31768284699
(79- 76),3.08268063352,2.66515892709,2.88315083763,3.2272797878,2.48522585367,3.29382070695
(79- 86),2.66081969897,2.95845623085,2.62689766855,3.09015009766,2.85947603379,3.2025633533
(79- 57),3.13802133422,2.46585461461,2.90054761975,2.79525671319,3.06519950582,2.8979278686
(61- 38),3.08167579731,2.62667643159,2.4185017583,3.28244388705,3.10436397592,2.8758631722
(61- 72),2.95721016421,2.84551785626,2.7331804654,2.80642449963,3.04632715876,2.7924865122
