patterns\K,0,1,2,3,4,5,6,7,8,9
(99- 38),3.49355332393,3.5738493979,-2.65601445995,8.16244191361,5.55440375437,0.81072033568,-2.16988675674,6.40545297472,1.58539985525,3.85445509423
(99- 72),2.80290446868,2.02188022081,2.45063213065,1.71468422452,2.33547365941,2.13520718872,3.12918619854,2.05949277225,2.10527583594,2.13448028304
(99- 11),1.70628053803,2.40085541988,2.5568145508,2.35723322315,2.20452290359,1.97301083293,2.09372489388,2.01580879737,2.15860193369,2.26424079489
(99- 76),2.46394076607,2.53437335028,2.0887383013,2.54733795342,2.14030698998,2.13082830279,2.2655319138,1.95852468039,1.8362897367,2.05192513521
(99- 86),2.06903325134,2.29386140269,2.25872253921,2.33262779965,2.44398199315,2.16137418443,2.42309189373,2.18705011987,1.95795592786,2.03310169877
(99- 57),2.18587744727,2.02966362991,1.78540194116,2.17543958764,2.19821590029,2.03360693024,1.93894388533,2.60221852201,2.68316188594,2.36143523938
(72- 38),2.01040325741,1.01851939537,1.22737067409,1.33557526917,2.02802213537,3.29272446158,3.04848219594,3.18462466825,3.76988143545,1.49116071858
(72- 72),2.05434781139,2.23831263342,1.99866112998,2.4047879429,2.54509201479,2.22110479398,2.49856451715,1.9838799973,2.16448201544,2.05952609074
(72- 11),1.79165411184,2.6851316731,2.37776918525,1.20819285358,2.48666602291,2.36409344899,2.32421601444,2.50949910906,1.60198147015,2.57045707432
(72- 76),2.55996415412,2.01074344894,2.33125590242,1.59844525119,2.49356932807,2.60505288998,1.98462373643,2.21171912184,2.18692662148,2.00752958143
(72- 86),2.04821000088,2.49105657434,1.3445305237,2.74256443154,2.04642374554,2.60823846782,1.86049504371,2.1597237318,1.82021361064,3.06875965948
(72- 57),2.28889459298,2.05439026909,1.96726067537,2.25080386767,1.96677259208,2.48981446313,2.23907526059,2.29668945693,2.12753737809,2.38665828437
(105- 38),2.16841423584,2.51689564651,2.06053766193,1.89684303337,2.67005164799,2.03354958097,2.59229040391,2.04704142436,1.69691185225,2.40199866387
(105- 72),2.07217672509,2.12118190681,2.1991967757,2.44098713591,2.01108889114,2.05577078937,2.19161863012,2.67952624429,2.28690640022,2.14855063474
(105- 11),1.64735154603,2.01747781583,1.9300196815,2.11422907068,1.77839140397,2.26589869976,2.66946196585,2.50068772741,2.60414083529,2.25845430636
(105- 76),1.87106561519,1.7590512526,1.85854791693,2.16004398039,2.46650240951,3.14686871241,2.16884565479,1.76507584747,2.7896305017,2.23716309295
(105- 86),2.39106751357,2.29113762368,2.15511771628,1.98360068605,2.11785094441,2.09183350293,2.51910459927,2.22034324307,2.16292375464,2.15480836736
(105- 57),2.40736142949,2.63787703626,2.33860461261,1.52703524995,2.20943681475,2.53762453918,2.17368320134,1.87586015683,2.05249969414,1.81634023289
(11- 38),3.44392490457,4.10224258701,2.75229198307,2.76967026116,2.26788090081,3.3913201026,0.883920211468,4.89846391327,-1.16967620223,1.0915960216
(11- 72),1.66322486231,2.4434123217,2.22562159004,2.14206669882,2.0816336396,1.73638003835,2.18959291583,2.12093625658,2.390186861,2.2073525417
(11- 11),2.23545464895,2.13407383235,2.36866258363,2.28271071735,1.74880855481,2.11703694324,2.54605946315,2.08180254771,2.21707590267,2.04690279853
(11- 76),2.31717898707,2.25008347193,1.19176636455,3.19666135921,3.33807223814,1.8865457548,2.83624727108,1.36363835225,1.80661908414,2.52848947303
