Cluster1:,0.2875,8,(99- 61),(99- 49),(56- 61),(99- 26),(26- 11),(26- 61),(99- 11),(56- 11),(99- 60),(99- 99),0.933333333333,
Cluster2:,0.216666666667,12,(61- 109),(60- 109),(34- 61),(11- 109),(70- 109),(61- 63),(11- 45),(70- 63),(60- 49),(11- 58),0.95,
Cluster3:,0.6,2,(34- 99),(34- 62),(73- 99),(73- 61),(73- 30),(34- 63),(34- 71),(73- 63),(34- 61),(34- 15),0.983333333333,
Cluster4:,0.320922288642,1171,(61- 61),(61- 99),(99- 61),(61- 109),(61- 58),(58- 61),(11- 61),(109- 61),(61- 11),(61- 45),0.7,
Cluster5:,0.209375,128,(61- 61),(61- 18),(61- 58),(61- 99),(61- 36),(11- 61),(99- 61),(61- 109),(58- 61),(61- 45),0.733333333333,
Cluster6:,0.55,2,(90- 1),(2- 20),(48- 1),(43- 20),(76- 1),(84- 1),(84- 20),(61- 20),(95- 1),(90- 20),1.0,
Cluster7:,0.134755959137,4405,(61- 61),(61- 99),(99- 61),(99- 99),(61- 11),(61- 58),(109- 61),(58- 61),(11- 61),(45- 61),0.733333333333,
EvaValue:,0.175174581006,,,,,,,,,,,NonSimilarityMeans:,0.861904761905
