Cluster1:,0.518862090291,1078,(61- 61),(99- 61),(61- 99),
Cluster2:,0.349306227815,2066,(61- 99),(99- 61),(61- 61),
Cluster3:,0.524509803922,204,(99- 4),(61- 61),(99- 61),
Cluster4:,0.521929824561,304,(61- 61),(70- 61),(61- 99),
Cluster5:,0.455808080808,1056,(61- 61),(11- 61),(109- 61),
Cluster6:,0.474676089517,283,(61- 61),(110- 45),(61- 45),
Cluster7:,0.419154228856,268,(61- 61),(45- 56),(45- 61),
Cluster8:,0.291666666667,112,(61- 61),(28- 11),(61- 99),
Cluster9:,0.33630952381,112,(61- 61),(16- 14),(61- 49),
Cluster10:,0.320627802691,446,(45- 66),(61- 61),(45- 61),
Cluster11:,0.460784313725,34,(64- 46),(61- 61),(64- 61),
Cluster12:,0.427293064877,745,(44- 61),(61- 61),(61- 99),
EvaValue:,0.420691711389
