Cluster1:,1.0,1,(110- 20),(6- 40),(6- 58),(110- 44),(14- 44),non_similarity:1.0,
Cluster2:,1.0,1,(66- 61),(22- 53),(60- 22),(104- 26),(22- 22),non_similarity:1.0,
Cluster3:,0.195724038807,5566,(61- 61),(61- 99),(99- 61),(61- 11),(61- 58),non_similarity:0.85,
Cluster4:,0.7,2,(15- 101),(15- 50),(15- 61),(65- 49),(73- 49),non_similarity:1.0,
Cluster5:,0.339240506329,158,(61- 61),(61- 109),(61- 58),(61- 99),(11- 61),non_similarity:0.85,
EvaValue:,0.200139664804
