Cluster1:,0.0796370967742,16
Cluster2:,0.0124138967983,158
Cluster3:,0.0736434108527,16
Cluster4:,0.0121344174076,160
Cluster5:,0.0937829293994,13
Cluster6:,0.0772978959025,15
Cluster7:,0.164399092971,7
Cluster8:,0.0183875682414,86
Cluster9:,0.357723577236,3
Cluster10:,0.0521168274384,24
Cluster11:,0.516666666667,2
Cluster12:,0.0131730054719,131
Cluster13:,0.0254778421265,57
Cluster14:,0.0203278111124,73
Cluster15:,0.0187907375643,88
Cluster16:,0.0633642930857,19
Cluster17:,0.0318360731651,42
Cluster18:,0.015080593641,114
Cluster19:,0.0307730590577,44
