Cluster1:,1.0,1,(110- 20),(6- 40),(6- 58),(110- 44),(14- 44),(14- 104),(110- 104),(14- 58),(14- 20),(110- 58),non_similarity:1.0,
Cluster2:,1.0,1,(66- 61),(22- 53),(60- 22),(104- 26),(22- 22),(66- 53),(22- 61),(66- 26),(60- 53),(22- 26),non_similarity:1.0,
Cluster3:,0.170984549048,5566,(61- 61),(61- 99),(99- 61),(61- 11),(61- 58),(99- 99),(58- 61),(11- 61),(109- 61),(61- 109),non_similarity:0.8,
Cluster4:,0.6,2,(15- 101),(15- 50),(15- 61),(65- 49),(73- 49),(60- 65),(49- 101),(10- 65),(27- 65),(49- 73),non_similarity:1.0,
Cluster5:,0.237974683544,158,(61- 61),(61- 109),(61- 58),(61- 99),(11- 61),(99- 61),(61- 45),(109- 61),(58- 61),(61- 18),non_similarity:0.8,
EvaValue:,0.173271648045
