Cluster1:,0.325,8,(99- 61),(99- 49),(56- 61),(99- 26),(26- 11),
Cluster2:,0.266666666667,12,(61- 109),(60- 109),(34- 61),(11- 109),(70- 109),
Cluster3:,0.7,2,(34- 99),(34- 62),(73- 99),(73- 61),(73- 30),
Cluster4:,0.391972672929,1171,(61- 61),(61- 99),(99- 61),(61- 109),(61- 58),
Cluster5:,0.30625,128,(61- 61),(61- 18),(61- 58),(61- 99),(61- 36),
Cluster6:,0.6,2,(90- 1),(2- 20),(48- 1),(43- 20),(76- 1),
Cluster7:,0.148104426788,4405,(61- 61),(61- 99),(99- 61),(99- 99),(61- 11),
EvaValue:,0.202339385475
