Cluster1:,0.25983201581,2023,(61- 61),(99- 61),(61- 99),(61- 109),(61- 58),(58- 61),(11- 61),(61- 45),(61- 11),(109- 61),(45- 61),(61- 62),(61- 44),(61- 18),(61- 1),(44- 61),(36- 61),(62- 61),(1- 61),(61- 36),
Cluster2:,0.215384615385,4367,(61- 99),(99- 61),(61- 61),(99- 99),(109- 61),(61- 11),(58- 61),(11- 61),(61- 58),(61- 109),(45- 61),(61- 45),(109- 99),(58- 99),(99- 109),(11- 99),(99- 58),(99- 11),(45- 99),(99- 45),
Cluster3:,0.288190954774,397,(99- 4),(99- 61),(61- 61),(99- 99),(61- 99),(61- 4),(99- 11),(58- 99),(4- 61),(99- 58),(109- 99),(99- 49),(61- 58),(11- 61),(99- 109),(109- 61),(4- 99),(61- 109),(58- 61),(61- 11),
Cluster4:,0.245845272206,697,(61- 61),(70- 61),(44- 61),(61- 99),(99- 61),(11- 61),(109- 61),(61- 11),(61- 109),(61- 45),(1- 61),(45- 61),(62- 61),(61- 58),(58- 61),(61- 44),(99- 99),(35- 61),(61- 1),(27- 61),
Cluster5:,0.263309352518,555,(61- 61),(110- 45),(61- 45),(45- 61),(61- 99),(11- 61),(45- 45),(99- 61),(110- 61),(99- 45),(61- 109),(58- 45),(61- 11),(45- 99),(109- 61),(61- 58),(58- 61),(61- 110),(61- 44),(45- 11),
Cluster6:,0.201485148515,201,(61- 61),(28- 11),(61- 99),(109- 61),(99- 61),(61- 11),(11- 61),(11- 11),(61- 109),(28- 61),(99- 11),(99- 99),(61- 28),(28- 44),(58- 61),(18- 61),(109- 99),(109- 11),(76- 61),(45- 61),
Cluster7:,0.195078299776,893,(45- 66),(61- 61),(45- 61),(61- 45),(61- 66),(45- 12),(45- 99),(99- 61),(61- 99),(45- 45),(99- 66),(66- 61),(61- 58),(45- 58),(99- 45),(99- 99),(61- 12),(45- 109),(58- 61),(45- 11),
Cluster8:,0.263235294118,67,(64- 46),(61- 61),(64- 61),(61- 99),(64- 58),(61- 64),(64- 99),(45- 61),(99- 11),(61- 46),(99- 61),(46- 99),(99- 46),(109- 99),(61- 10),(99- 99),(61- 4),(87- 61),(46- 61),(61- 35),
EvaValue:,0.231572569462
