Cluster1:,0.1,1,(35- 60),
Cluster2:,1.0,1,(76- 32),(36- 22),(86- 109),(76- 22),(18- 32),(86- 56),(15- 22),(76- 109),(27- 109),(18- 56),
Cluster3:,0.169614965492,5506,(61- 61),(61- 99),(99- 61),(61- 11),(61- 58),(99- 99),(58- 61),(109- 61),(61- 109),(11- 61),
Cluster4:,0.254838709677,217,(61- 61),(99- 61),(61- 109),(61- 58),(11- 61),(61- 99),(58- 61),(61- 11),(61- 45),(109- 61),
Cluster5:,1.0,1,(98- 29),(49- 5),(49- 29),(83- 5),(109- 10),(25- 5),(16- 29),(83- 29),(25- 61),(53- 10),
Cluster6:,0.55,2,(56- 61),(91- 27),(61- 99),(61- 27),(99- 1),(27- 1),(8- 91),(12- 61),(56- 45),(56- 74),
EvaValue:,0.173254189944
